cadena,gamma_Nm,tau_anios,k_top,chi_ms,prob
A,9.8624e+18,13.379,0.21032,0.16613,0.70823
A,1.7955e+19,11.952,0.85824,0.2419,0.48122
A,1.1431e+19,11.709,0.51698,0.16629,0.70777
A,2.2567e+19,3.4108,0.14398,0.30276,0.31798
A,2.7438e+19,2.0363,0.015752,0.24014,0.48633
A,9.5227e+18,10.419,0.20344,0.30872,0.3038
A,1.6042e+19,2.6612,0.024829,0.26155,0.42524
A,2.1017e+19,5.0995,0.66691,0.30714,0.30753
A,7.2486e+18,38.853,0.29331,0.27427,0.39051
A,2.2239e+19,2.5796,0.08662,0.20989,0.57655
A,2.2414e+19,3.9678,0.41155,0.26319,0.42069
A,2.1764e+19,2.4576,0.13098,0.23387,0.50474
A,8.2625e+18,16.935,0.23563,0.20936,0.57818
A,1.2197e+19,7.5582,0.062381,0.28823,0.354
A,1.5422e+19,7.8733,0.49332,0.27519,0.38804
A,1.5484e+19,5.5665,0.066896,0.3034,0.31644
A,1.0872e+19,14.992,0.2431,0.24678,0.46707
A,2.3311e+19,5.4181,0.76461,0.25014,0.45744
A,6.3541e+18,11.934,0.15316,0.29414,0.3391
A,2.2764e+19,2.8372,0.069835,0.12444,0.82401
A,1.4139e+19,16.3,0.69538,0.184,0.65496
A,1.2495e+19,7.852,1.1541,0.30909,0.30294
A,1.043e+19,11.871,0.5172,0.23929,0.48881
A,1.0852e+19,7.9092,0.17533,0.22201,0.54004
A,1.1586e+19,10.269,0.088437,0.30889,0.30341
A,1.3279e+19,8.4871,0.25344,0.2491,0.46041
A,1.8105e+19,7.3265,0.263,0.24755,0.46486
A,2.5203e+19,2.8274,0.02859,0.12689,0.81769
A,1.1431e+19,8.0024,0.11464,0.2146,0.56234
A,1.1334e+19,7.2089,0.28481,0.29672,0.33268
A,1.5037e+19,8.2852,0.35522,0.26308,0.421
A,1.9681e+19,2.48,0.03436,0.25417,0.44595
A,1.9636e+19,3.2848,0.0063205,0.18881,0.64043
A,1.7817e+19,3.2489,0.08704,0.29882,0.32753
A,1.3499e+19,4.6776,0.1739,0.24822,0.46293
A,6.486e+18,23.249,0.2656,0.28363,0.36582
A,9.8327e+18,13.729,0.3902,0.21357,0.56543
A,2.0709e+19,6.4422,0.49064,0.30477,0.31315
A,2.0389e+19,24.026,1.4501,0.21779,0.55273
A,8.7493e+18,10.939,0.12205,0.25214,0.45174
A,5.9867e+18,47.536,0.36724,0.27943,0.37682
A,1.0581e+19,10.458,0.32679,0.2772,0.3827
A,9.581e+18,5.934,0.14103,0.12717,0.81696
A,1.0481e+19,11.363,0.45032,0.2638,0.41899
A,1.7188e+19,4.085,0.27709,0.24965,0.45883
A,3.4615e+19,2.8843,0.22072,0.19584,0.61914
A,2.0702e+19,3.6151,0.0082313,0.27855,0.37912
A,6.8484e+18,17.113,0.3042,0.24455,0.47352
A,7.9284e+18,11.547,0.29157,0.24179,0.48153
A,1.4401e+19,3.7998,0.39247,0.2661,0.41265
A,1.0253e+19,10.482,0.1695,0.28105,0.37255
A,2.0566e+19,4.2763,0.14888,0.2354,0.50025
A,6.926e+18,33.31,0.52097,0.27659,0.38433
A,1.1913e+19,9.736,0.89723,0.18277,0.65864
A,7.2237e+18,21.147,0.084483,0.30691,0.30807
A,8.5359e+18,14.608,0.1873,0.17893,0.67019
A,2.0351e+19,5.9142,0.29692,0.27963,0.37627
A,2.8903e+19,2.2413,0.11763,0.23327,0.50654
A,9.2417e+18,6.8448,0.29634,0.28495,0.36243
A,2.7243e+19,3.8854,0.14457,0.21386,0.56457
A,1.1206e+19,6.8727,0.10204,0.30369,0.31573
A,1.5136e+19,7.3808,0.3623,0.14331,0.77357
A,5.7419e+18,16.987,0.13867,0.20201,0.60045
A,1.4883e+19,8.6105,0.35677,0.20648,0.5869
A,1.0542e+19,11.695,0.38299,0.20511,0.59104
A,5.0406e+18,14.493,0.05452,0.28883,0.35248
A,2.1094e+19,3.5815,0.049077,0.30815,0.30515
A,1.5268e+19,4.0749,0.016914,0.22329,0.5362
A,1.2348e+19,7.1473,0.31483,0.22715,0.52469
A,1.2697e+19,7.1755,0.44755,0.22854,0.52053
A,2.7837e+19,2.7553,0.10248,0.257,0.43797
A,1.6546e+19,4.3862,0.056612,0.19751,0.61409
A,2.2056e+19,4.3766,0.19795,0.20185,0.60092
A,6.8929e+18,14.613,0.1968,0.24874,0.46146
A,1.214e+19,10.355,0.6996,0.28548,0.36105
A,9.4053e+18,11.828,0.37477,0.27421,0.39067
A,5.6602e+18,18.228,0.17874,0.29781,0.33
A,9.5849e+18,8.9699,0.29445,0.26042,0.42838
A,1.3268e+19,7.4742,0.28237,0.2838,0.36539
A,1.9706e+19,8.1674,1.0623,0.27968,0.37616
A,8.2501e+18,26.66,0.23635,0.28716,0.35673
A,1.897e+19,17.855,1.6134,0.29984,0.32504
A,3.2385e+19,2.6891,0.12164,0.22212,0.53972
A,7.6919e+18,12.925,0.24516,0.20193,0.60068
A,1.2719e+19,7.3684,0.33698,0.2843,0.3641
A,1.4112e+19,5.2044,0.24808,0.27049,0.40069
A,7.5739e+18,37.757,0.43616,0.28533,0.36144
A,1.2962e+19,6.7928,0.20312,0.29747,0.33084
A,2.0675e+19,8.5459,0.83943,0.25614,0.44039
A,1.3858e+19,5.3067,0.13971,0.30994,0.30096
A,1.8246e+19,3.8312,0.19739,0.28059,0.37375
A,1.4284e+19,13.739,0.59089,0.23575,0.49922
A,1.9303e+19,6.4895,0.33309,0.27965,0.37624
A,1.3094e+19,4.1368,0.090309,0.2602,0.42901
A,1.2745e+19,8.9858,0.46464,0.27067,0.40022
A,1.3671e+19,6.0915,0.063965,0.30982,0.30125
A,1.61e+19,5.7568,0.31314,0.26665,0.41116
A,1.3169e+19,7.6268,0.35707,0.25656,0.43922
A,1.1547e+19,8.1059,0.27357,0.16918,0.69923
A,1.508e+19,6.7874,0.16384,0.19601,0.61864
A,1.8566e+19,6.4551,0.36233,0.2192,0.54847
A,1.7223e+19,6.3345,0.5713,0.26814,0.40707
A,1.3738e+19,11.424,0.4574,0.27578,0.38648
A,2.5346e+19,2.96,0.38003,0.30148,0.32105
A,2.0432e+19,4.4223,0.40248,0.30072,0.3229
A,1.8611e+19,6.4705,0.71983,0.2286,0.52037
A,1.0993e+19,7.9706,0.08277,0.22961,0.51735
A,1.6552e+19,5.2547,0.18312,0.30159,0.32079
A,1.6677e+19,3.0858,0.10536,0.24167,0.48188
A,9.1783e+18,7.5557,0.25267,0.28028,0.37458
A,1.3602e+19,7.8307,0.54921,0.18152,0.66243
A,2.2132e+19,3.9427,0.22262,0.16474,0.71231
A,6.5507e+18,17.924,0.037172,0.28495,0.36242
A,8.7881e+18,14.657,0.36515,0.22078,0.54373
A,2.5209e+19,2.9225,0.095411,0.23349,0.50587
A,6.1176e+18,8.4378,0.03654,0.30089,0.3225
A,1.2929e+19,9.087,0.47571,0.23536,0.50035
A,1.7207e+19,8.1066,0.29879,0.30326,0.31677
A,1.779e+19,5.5777,0.13367,0.25642,0.43961
A,1.6007e+19,8.4642,1.0846,0.29239,0.34348
A,5.7923e+18,16.442,0.17081,0.25054,0.45628
A,1.6281e+19,13.922,0.82478,0.23779,0.49321
A,2.4537e+19,6.5975,0.98854,0.27957,0.37643
A,2.1291e+19,6.812,0.45342,0.29726,0.33137
A,1.8215e+19,3.2358,0.0014369,0.21306,0.56699
A,1.6718e+19,4.4697,0.23463,0.2497,0.4587
A,2.5657e+19,3.223,0.11197,0.26589,0.41323
A,2.8834e+19,2.8737,0.13719,0.24503,0.47212
A,6.3329e+18,30.673,0.55851,0.17037,0.6957
A,4.3647e+18,19.081,0.14254,0.2502,0.45726
A,1.0634e+19,9.64,0.29811,0.20053,0.60492
A,3.0267e+19,2.2187,0.17657,0.23302,0.50728
A,3.9604e+19,1.0955,0.0763,0.27433,0.39034
A,1.3599e+19,5.7491,0.2763,0.18589,0.64924
A,1.5821e+19,7.9216,0.61692,0.24003,0.48667
A,1.618e+19,5.5257,0.26765,0.28826,0.35393
A,1.713e+19,12.846,0.96678,0.27608,0.38569
A,1.0949e+19,14.267,0.20561,0.30152,0.32097
A,1.9919e+19,4.8804,0.22903,0.21539,0.55995
A,1.1777e+19,7.4536,0.058041,0.27054,0.40056
A,1.4383e+19,5.2441,0.16197,0.17591,0.67922
A,7.9122e+18,18.743,0.27746,0.17415,0.68446
A,1.6194e+19,10.535,0.76866,0.17595,0.67911
A,8.5619e+18,17.919,0.33347,0.27986,0.37567
A,1.5519e+19,6.0718,0.55175,0.25451,0.44499
A,1.4884e+19,5.7707,0.42633,0.2366,0.49673
A,8.9996e+18,6.636,0.018855,0.17393,0.68514
A,1.6948e+19,10.259,0.79036,0.268,0.40747
A,1.662e+19,6.2532,0.22314,0.2302,0.51561
A,1.1e+19,29.883,0.63475,0.30857,0.30417
A,1.1175e+19,22.328,0.76906,0.27106,0.39916
A,1.3774e+19,5.8145,0.22698,0.27469,0.3894
A,7.6112e+18,19.737,0.23219,0.23537,0.50032
A,6.9515e+18,16.01,0.23416,0.23171,0.51113
A,1.5282e+19,5.7897,0.16906,0.13871,0.78623
A,9.8292e+18,10.229,0.14944,0.25361,0.44755
A,4.8149e+18,34.886,0.15091,0.29211,0.34418
A,2.1968e+19,4.8199,0.26485,0.23116,0.51277
A,2.028e+19,7.695,0.53059,0.26154,0.42528
A,1.3737e+19,6.4162,0.02777,0.24588,0.46968
A,1.4066e+19,6.2043,0.11652,0.2111,0.57291
A,5.3394e+18,20.181,0.23687,0.18339,0.65678
A,2.2673e+19,7.1952,0.56167,0.28743,0.35604
A,1.4477e+19,5.2438,0.20463,0.29399,0.33947
A,8.6059e+18,34.21,0.61288,0.21707,0.55488
A,1.1806e+19,8.9201,0.33261,0.13408,0.79875
A,1.6541e+19,7.3165,0.31916,0.26347,0.41991
A,7.4406e+18,18.608,0.17799,0.26021,0.42897
A,8.3449e+18,52.759,0.34426,0.30435,0.31417
A,1.8969e+19,13.939,0.64685,0.30526,0.31199
A,1.502e+19,9.3336,0.68139,0.20827,0.58145
A,2.1797e+19,3.463,0.18375,0.26142,0.4256
A,1.1978e+19,7.8372,0.053921,0.2701,0.40174
A,8.2997e+18,11.91,0.21877,0.26637,0.41192
A,2.8071e+19,3.6088,0.3701,0.27322,0.39334
A,1.2496e+19,6.2539,0.3504,0.30268,0.31815
A,1.9275e+19,4.9646,0.44604,0.27781,0.38109
A,1.1035e+19,10.974,0.26155,0.29535,0.33607
A,1.5674e+19,5.7688,0.26764,0.2883,0.35382
A,6.4925e+18,12.956,0.18682,0.24299,0.47804
A,9.7878e+18,11.164,0.13666,0.16393,0.71467
A,1.5507e+19,4.0573,0.092021,0.26454,0.41696
A,1.4522e+19,7.8653,0.38471,0.26051,0.42812
A,1.6281e+19,4.4231,0.12552,0.12639,0.81898
A,1.5741e+19,9.8982,0.61389,0.28274,0.36816
A,1.2565e+19,16.329,0.35627,0.30232,0.31904
A,9.5467e+18,20.633,0.37113,0.25759,0.4363
A,2.1918e+19,2.9675,0.057283,0.15339,0.74519
A,2.5279e+19,2.5926,0.13967,0.19564,0.61975
A,1.6517e+19,7.8156,0.48083,0.24097,0.48392
A,1.0567e+19,10.027,0.16306,0.28754,0.35575
A,6.8251e+18,16.351,0.20732,0.25551,0.44216
A,6.8034e+18,8.1952,0.016342,0.29626,0.33383
A,2.7311e+19,3.9872,0.016266,0.30339,0.31646
A,1.8871e+19,4.2778,0.19045,0.24436,0.47407
A,1.1238e+19,12.625,0.72575,0.22943,0.51788
A,2.3916e+19,2.1043,0.094635,0.29726,0.33135
A,2.6145e+19,3.9305,0.26915,0.19183,0.6313
A,9.5517e+18,10.181,0.29467,0.30726,0.30724
A,2.8994e+19,3.0737,0.21515,0.18276,0.65867
A,1.838e+19,3.4179,0.16756,0.28101,0.37268
A,6.9528e+18,18.421,0.1989,0.29622,0.33393
A,1.7317e+19,13.324,0.72833,0.27822,0.38001
A,1.4525e+19,5.7566,0.1757,0.25336,0.44826
A,1.0193e+19,6.6903,0.082168,0.23187,0.51065
A,9.5858e+18,19.807,0.51504,0.24552,0.47072
A,4.5325e+18,25.802,0.028363,0.2208,0.54366
A,1.877e+19,5.7483,0.45573,0.28564,0.36065
A,8.3579e+18,7.728,0.086079,0.26579,0.41353
A,1.2188e+19,12.925,0.50011,0.21073,0.57403
A,2.7002e+19,4.7318,0.31646,0.26858,0.40587
A,7.5669e+18,8.3389,0.0019218,0.29288,0.34224
A,7.4047e+18,10.685,0.090099,0.24866,0.46166
A,1.8804e+19,4.6118,0.29576,0.10356,0.87455
A,1.7437e+19,8.8075,0.3032,0.24547,0.47085
A,2.9357e+19,2.424,0.22124,0.23014,0.5158
A,9.2694e+18,11.195,0.052449,0.27198,0.39667
A,2.3651e+19,5.9902,0.40807,0.25445,0.44516
A,7.167e+18,9.1513,0.22208,0.30272,0.31806
A,1.0879e+19,13.378,0.41383,0.26307,0.42102
