ID,RA,DEC,zphot,MUV,drop_out
17387,53.050669,-27.883014,10.94,-17.0,F115W
17557,53.042163,-27.879839,9.34,-16.9,F115W
17634,53.040206,-27.876690,9.54,-16.7,F115W
17825,53.022986,-27.883021,9.62,-16.7,F115W
17934,53.073198,-27.841670,10.06,-16.7,F115W
20342,53.098099,-27.850742,9.31,-16.6,F115W
35703,53.072878,-27.861566,9.59,-17.2,F115W
35706,53.058724,-27.885673,10.84,-17.0,F115W
35712,53.064121,-27.862256,8.88,-17.0,F115W
40044,53.040165,-27.876027,12.11,-17.7,F150W
40054,53.082649,-27.864818,13.01,-17.9,F150W
2022,53.082937,-27.855633,14.32,-20.8,F150W
7577,53.080527,-27.870979,11.99,-17.1,F150W
7707,53.046055,-27.869631,13.26,-18.0,F150W
8135,53.028690,-27.893013,12.87,-18.3,F150W
8227,53.047445,-27.872083,12.76,-18.3,F150W
8477,53.045239,-27.870074,12.33,-17.8,F150W
8528,53.064756,-27.890234,13.05,-18.4,F150W
8578,53.079340,-27.871847,14.64,-18.3,F150W
8916,53.084681,-27.866661,12.08,-17.6,F150W
9481,53.043575,-27.872944,13.79,-18.3,F150W
10291,53.042921,-27.870455,12.94,-18.5,F150W
10643,53.026742,-27.894634,13.28,-17.8,F150W
10912,53.107630,-27.860128,14.84,-17.8,F150W
11463,53.086693,-27.872383,15.07,-17.8,F150W
11598,53.075344,-27.870049,14.63,-17.9,F150W
11760,53.092205,-27.845870,12.93,-18.0,F150W
12016,53.104693,-27.861868,12.98,-17.8,F150W
12334,53.029782,-27.892389,13.11,-17.4,F150W
12512,53.068635,-27.846787,13.10,-17.6,F150W
13484,53.045084,-27.897909,12.27,-16.8,F150W
13495,53.036131,-27.902974,14.88,-17.4,F150W
13720,53.075939,-27.842576,12.96,-17.1,F150W
14642,53.040176,-27.876021,12.12,-17.5,F150W
14984,53.070488,-27.871587,14.85,-17.4,F150W
15124,53.082524,-27.851093,12.21,-17.7,F150W
15153,53.027678,-27.886677,13.25,-17.2,F150W
15796,53.032744,-27.886077,12.24,-16.6,F150W
16563,53.074614,-27.860042,12.94,-16.7,F150W
17109,53.075759,-27.877938,13.20,-17.0,F150W
17782,53.064374,-27.850764,12.65,-16.9,F150W
35709,53.042823,-27.871770,12.47,-17.3,F150W
10461,53.041949,-27.900857,17.08,-17.3,F200W
14307,53.102727,-27.861850,18.42,-17.3,F200W
16368,53.097803,-27.853101,18.54,-17.0,F200W
20812,53.029207,-27.887505,21.04,-16.9,F200W
40011,53.019108,-27.879895,2.08,-11.1,None
