gene_label,status_cam9_208,status_vk382,status_vk388,status_vk470,status_vk281,lineage_group
G5.5R,Possibly intact,Present,Present,Present,Present,Intact
G7L,Possibly intact,Present,Present,Present,Present,Intact
G6R,Possibly intact,Present,Present,Present,Present,Intact
G8R,Possibly intact,Present,Present,Present,Present,Intact
G9R,Possibly intact,Present,Present,Present,Present,Intact
L1R,Possibly intact,Present,Present,Present,Present,Intact
L3L,Possibly intact,Present,Present,Present,Present,Intact
L2R,Possibly intact,Present,Present,Present,Present,Intact
L4R,Possibly intact,Present,Present,Present,Present,Intact
L5R,Possibly intact,Present,Present,Present,Present,Intact
J1R,Possibly intact,Present,Present,Present,Present,Intact
J2R,Possibly intact,Present,Present,Present,Present,Intact
J3R,Possibly intact,Present,Present,Present,Present,Intact
J4R,Possibly intact,Present,Present,Present,Present,Intact
J5R,Possibly intact,Present,Present,Present,Present,Intact
H1L,Possibly intact,Present,Present,Present,Present,Intact
J6R,Possibly intact,Present,Present,Present,Present,Intact
H2R,Possibly intact,Present,Present,Present,Present,Intact
H3L,Possibly intact,Present,Present,Present,Present,Intact
H4L,Possibly intact,Present,Present,Present,Present,Intact
H5R,Possibly intact,Present,Present,Present,Present,Intact
H6R,Possibly intact,Present,Present,Present,Present,Intact
H7R,Possibly intact,Present,Present,Present,Present,Intact
D2L,Possibly intact,Present,Present,Present,Present,Intact
D1R,Possibly intact,Present,Present,Present,Present,Intact
D3R,Possibly intact,Present,Present,Present,Present,Intact
D4R,Possibly intact,Present,Present,Present,Present,Intact
D5R,Possibly intact,Present,Present,Present,Present,Intact
D6R,Possibly intact,Present,Present,Present,Present,Intact
D8L,Possibly intact,Present,Present,Present,Present,Intact
D7R,Possibly intact,Present,Present,Present,Present,Intact
D9R,Possibly intact,Present,Present,Present,Present,Intact
D10R,Possibly intact,Present,Present,Present,Present,Intact
D11L,Possibly intact,Present,Present,Present,Present,Intact
D12L,Possibly intact,Present,Present,Present,Present,Intact
D13L,Possibly intact,Present,Present,Present,Present,Intact
A1L,Possibly intact,Present,Present,Present,Present,Intact
A2L,Possibly intact,Present,Present,Present,Present,Intact
A2.5L,Possibly intact,Present,Present,Present,Present,Intact
A3L,Possibly intact,Present,Present,Present,Present,Intact
A4L,Possibly intact,Present,Present,Present,Present,Intact
A6L,Possibly intact,Present,Present,Present,Present,Intact
A5R,Possibly intact,Present,Present,Present,Present,Intact
A7L,Possibly intact,Present,Present,Present,Present,Intact
A8R,Possibly intact,Present,Present,Present,Present,Intact
A10R,Possibly intact,Present,Present,Present,Present,Intact
A11R,Possibly intact,Present,Present,Present,Present,Intact
A12L,Possibly intact,Present,Present,Present,Present,Intact
A13L,Possibly intact,Present,Present,Present,Present,Intact
A14L,Possibly intact,Present,Present,Present,Present,Intact
A14.5L,Possibly intact,Present,Present,Present,Present,Intact
A15L,Possibly intact,Present,Present,Present,Present,Intact
A16L,Possibly intact,Present,Present,Present,Present,Intact
A17L,Possibly intact,Present,Present,Present,Present,Intact
A19L,Possibly intact,Present,Present,Present,Present,Intact
A18R,Possibly intact,Present,Present,Present,Present,Intact
A21L,Possibly intact,Present,Present,Present,Present,Intact
A20R,Possibly intact,Present,Present,Present,Present,Intact
A22R,Possibly intact,Present,Present,Present,Present,Intact
A23R,Possibly intact,Present,Present,Present,Present,Intact
A24R,Possibly intact,Present,Present,Present,Present,Intact
A26L,Possibly intact,Present,Present,Present,Present,Intact
A27L,Possibly intact,Present,Present,Present,Present,Intact
A28L,Possibly intact,Present,Present,Present,Present,Intact
A29L,Possibly intact,Present,Present,Present,Present,Intact
A30L,Possibly intact,Present,Present,Present,Present,Intact
A30.5L,Possibly intact,Present,Present,Present,Present,Intact
A32L,Possibly intact,Present,Present,Present,Present,Intact
A31R,Possibly intact,Present,Present,Present,Present,Intact
A33R,Possibly intact,Present,Present,Present,Present,Intact
A34R,Possibly intact,Present,Present,Present,Present,Intact
A36R,Possibly intact,Present,Present,Present,Present,Intact
A38L,Possibly intact,Present,Present,Present,Present,Intact
163365,Possibly intact,Present,Present,Present,Present,Intact
A41L,Possibly intact,Present,Present,Present,Present,Intact
A42R,Possibly intact,Present,Present,Present,Present,Intact
A43R,Possibly intact,Present,Present,Present,Present,Intact
A45R,Possibly intact,Present,Present,Present,Present,Intact
A46R,Possibly intact,Present,Present,Present,Present,Intact
A47L,Possibly intact,Present,Present,Present,Present,Intact
A48R,Possibly intact,Present,Present,Present,Present,Intact
A49R,Possibly intact,Present,Present,Present,Present,Intact
A50R,Possibly intact,Present,Present,Present,Present,Intact
A51R,Possibly intact,Present,Present,Present,Present,Intact
A56R,Possibly intact,Present,Present,Present,Present,Intact
B1R,Possibly intact,Present,Present,Present,Present,Intact
B4R,Possibly intact,Present,Present,Present,Present,Intact
B5R,Possibly intact,Present,Present,Present,Present,Intact
B8R,Possibly intact,Present,Present,Present,Present,Intact
B13R;B14R,Possibly intact,Present,Present,Present,Present,Intact
B15R,Possibly intact,Present,Present,Present,Present,Intact
B17L,Possibly intact,Present,Present,Present,Present,Intact
B18R,Possibly intact,Present,Present,Present,Present,Intact
B19R,Possibly intact,Present,Present,Present,Present,Intact
C12L,Possibly intact,Present,Present,Present,Present,Intact
