paper_id,human_mean,human_std,n_reviewers,decision,decision_numeric,accepted,claude_overall,claude_soundness,claude_presentation,claude_contribution,claude_confidence,claude_originality,claude_quality,claude_clarity,claude_significance,claude_decision,gpt4o_overall,gpt4o_soundness,gpt4o_presentation,gpt4o_contribution,gpt4o_confidence,gpt4o_originality,gpt4o_quality,gpt4o_clarity,gpt4o_significance,gpt4o_decision,claude_accepted,gpt4o_accepted
QKEkEFpKBBv,3.0,0.0,4,Reject,0,0,7,3,3,3,4,4,3,3.0,4,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
AsyICRrQ7Lp,3.5,1.9148542155126762,4,Reject,0,0,8,3,3,3,4,4,3,3.0,4,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
lQI_mZjvBxj,5.75,2.0615528128088303,4,Accept (Poster),1,1,6,4,3,3,4,4,3,3.0,3,Accept,4,2,3,2,4,3,2,3,2,Reject,1,0
OWZVD-l-ZrC,5.75,0.5,4,Accept (Poster),1,1,7,3,4,3,4,3,3,4.0,4,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
ghTlLwlBS-,4.75,1.2583057392117916,4,Reject,0,0,7,3,3,3,4,4,3,4.0,3,Accept,5,2,2,3,4,3,2,2,3,Reject,1,0
aq6mqSkwApo,4.666666666666667,1.5275252316519465,3,Reject,0,0,8,4,4,4,4,4,3,4.0,4,Accept,6,3,2,3,4,3,3,2,3,Reject,1,0
eMudnJsb1T5,8.0,1.632993161855452,4,Accept (Spotlight),2,1,8,4,4,4,4,4,4,4.0,4,Accept,4,3,3,3,4,4,3,2,3,Reject,1,0
VNdFPD5wqjh,5.5,2.0816659994661326,4,Reject,0,0,7,3,3,4,4,4,3,3.0,4,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
_j4hwbj6Opj,3.5,1.0,4,Reject,0,0,7,3,3,3,4,4,3,3.0,3,Accept,6,3,2,3,4,3,3,2,3,Reject,1,0
iEvAf8i6JjO,6.25,2.362907813126304,4,Accept (Spotlight),2,1,8,4,4,4,4,4,4,4.0,4,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
ptZfV8tJbpe,4.0,1.4142135623730951,5,Reject,0,0,7,3,3,3,4,4,3,3.0,3,Accept,6,3,2,3,4,4,3,2,3,Reject,1,0
wQStfB93RZZ,5.25,0.5,4,Reject,0,0,7,3,3,3,4,3,3,3.0,4,Accept,7,3,3,3,4,3,3,3,4,Accept,1,1
W9G_ImpHlQd,8.0,0.0,4,Accept (Spotlight),2,1,7,3,3,4,4,4,3,4.0,4,Accept,5,3,3,4,4,4,3,3,4,Reject,1,0
l431c_2eGO2,5.0,1.224744871391589,5,Reject,0,0,7,3,3,4,3,4,3,3.0,4,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
z3Tf4kdOE5D,4.0,1.1547005383792515,4,Reject,0,0,7,3,3,3,4,3,3,3.0,3,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
a34GrNaYEcS,7.0,1.1547005383792515,4,Accept (Poster),1,1,8,4,4,4,4,3,4,4.0,4,Accept,5,3,2,3,4,3,3,3,3,Reject,1,0
izvwgBic9q,5.333333333333333,2.516611478423583,3,Accept (Poster),1,1,7,3,3,3,4,4,3,3.0,4,Accept,6,3,3,3,4,4,3,3,4,Accept,1,1
7pZiaojaVGU,4.8,1.0954451150103321,5,Reject,0,0,8,4,4,4,4,4,4,4.0,4,Accept,6,3,3,3,4,4,3,3,4,Accept,1,1
30SXt3-vvnM,4.5,1.7320508075688772,4,Reject,0,0,7,4,3,4,5,4,3,3.0,4,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
WxuE_JWxjkW,6.25,2.362907813126304,4,Accept (Poster),1,1,7,3,3,3,4,4,3,3.0,3,Accept,4,2,2,3,4,3,2,2,3,Reject,1,0
MvO2t0vbs4-,6.0,0.0,3,Accept (Poster),1,1,8,4,4,4,4,2,4,4.0,4,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
IptBMO1AR5g,5.25,2.0615528128088303,4,Reject,0,0,7,3,3,3,4,3,3,3.0,3,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
NuzF7PHTKRw,5.75,0.5,4,Reject,0,0,7,3,3,3,4,3,4,3.0,3,Accept,4,3,2,3,4,3,3,2,3,Reject,1,0
zuDmDfeoB_1,5.25,0.5,4,Reject,0,0,7,4,3,4,4,4,4,4.0,4,Accept,6,3,2,3,4,3,3,2,3,Accept,1,1
4Muj-t_4o4,5.75,2.0615528128088303,4,Accept (Poster),1,1,7,3,3,3,4,4,3,3.0,4,Accept,6,3,3,3,4,3,3,3,4,Reject,1,0
m5EBN92vjN,1.5,1.0,4,Reject,0,0,6,3,3,2,4,3,3,3.0,3,Reject,6,3,3,3,4,3,3,3,3,Reject,0,0
mqIeP6qPvta,5.5,2.0816659994661326,4,Reject,0,0,7,3,3,3,4,4,3,3.0,4,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
JXSZuWSPH85,4.666666666666667,1.5275252316519465,3,Reject,0,0,7,3,3,3,4,4,3,3.0,4,Accept,4,2,2,2,4,3,2,2,3,Reject,1,0
D78Go4hVcxO,7.25,1.5,4,Accept (Spotlight),2,1,8,4,4,4,4,4,4,4.0,4,Accept,5,2,3,3,4,3,3,3,3,Reject,1,0
8QE3pwEVc8P,6.0,1.4142135623730951,4,Reject,0,0,8,4,3,4,4,4,4,3.0,4,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
reFFte7mA0F,6.0,1.7320508075688772,3,Reject,0,0,7,3,3,4,4,4,3,3.0,4,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
IsHQmuOqRAG,5.25,2.0615528128088303,4,Reject,0,0,7,3,3,4,4,4,3,3.0,4,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
fCSq8yrDkc,5.25,1.5,4,Accept (Poster),1,1,8,4,3,4,4,4,4,3.0,4,Accept,6,3,2,3,4,4,3,2,4,Accept,1,1
vfsRB5MImo9,5.75,2.0615528128088303,4,Accept (Poster),1,1,7,4,3,4,4,3,3,3.0,4,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
kSwqMH0zn1F,6.0,0.0,4,Accept (Poster),1,1,8,4,3,4,4,4,4,3.0,4,Accept,7,3,3,3,4,4,4,3,4,Accept,1,1
gFDFKC4gHL4,6.5,1.0,4,Accept (Poster),1,1,7,3,3,3,4,4,3,3.0,3,Accept,7,3,3,3,4,4,4,3,4,Accept,1,1
d2TT6gK9qZn,5.5,2.0816659994661326,4,Accept (Poster),1,1,7,3,3,4,4,3,3,3.0,3,Accept,6,3,2,3,4,3,3,2,4,Reject,1,0
_PHymLIxuI,6.25,1.2583057392117916,4,Accept (Poster),1,1,8,4,4,4,4,4,4,4.0,4,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
Xg47v73CDaj,5.0,0.0,4,Reject,0,0,8,3,3,3,4,4,4,3.0,4,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
oxC2IBx8OuZ,5.5,2.886751345948129,4,Reject,0,0,7,4,3,4,4,4,3,3.0,4,Accept,6,3,3,3,4,3,3,3,3,Accept,1,1
ULfq0qR25dY,6.5,1.0,4,Accept (Poster),1,1,7,3,4,4,4,4,4,4.0,4,Accept,6,3,2,4,4,4,3,2,4,Accept,1,1
KTPuIsx4pmo,7.5,1.0,4,Accept (Poster),1,1,8,3,3,4,4,4,3,3.0,4,Accept,4,2,2,2,4,3,2,2,3,Reject,1,0
jJWK09skiNl,1.8,1.0954451150103324,5,Reject,0,0,4,2,3,2,4,3,2,3.0,3,Reject,3,2,2,2,4,2,2,2,2,Reject,0,0
bUAdXW8wN6,4.75,2.362907813126304,4,Reject,0,0,8,4,4,4,4,4,3,4.0,4,Accept,6,3,2,3,4,3,3,2,3,Reject,1,0
j-63FSNcO5a,7.0,1.1547005383792515,4,Accept (Poster),1,1,7,3,3,3,4,4,3,3.0,3,Accept,7,3,3,4,4,4,3,3,4,Accept,1,1
L1L2G43k14n,4.4,1.3416407864998738,5,Reject,0,0,7,3,3,4,4,4,3,3.0,4,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
yV4_fWe4nM,4.75,1.2583057392117916,4,Reject,0,0,7,3,3,4,4,4,3,4.0,4,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
9rKTy4oZAQt,5.5,0.5773502691896257,4,Reject,0,0,8,4,3,4,4,4,3,3.0,4,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
lY0-7bj0Vfz,6.0,1.7320508075688772,3,Accept (Poster),1,1,7,3,3,3,4,3,3,3.0,4,Accept,6,3,2,3,4,3,3,2,3,Reject,1,0
R8sQPpGCv0,7.5,1.0,4,Accept (Poster),1,1,7,4,4,4,4,4,4,4.0,3,Accept,7,3,3,3,4,3,3,3,3,Accept,1,1
EHaUTlm2eHg,6.5,1.0,4,Accept (Poster),1,1,7,3,3,4,4,4,3,4.0,4,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
Fj1Tpym9KxH,5.75,1.5,4,Reject,0,0,7,3,3,3,4,3,3,3.0,4,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
k7-s5HSSPE5,6.0,0.0,4,Accept (Poster),1,1,7,3,3,3,4,3,3,3.0,3,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
SVwbKmEg7M,4.75,1.2583057392117916,4,Reject,0,0,7,3,4,4,4,4,3,4.0,4,Accept,5,3,3,3,4,4,3,4,3,Reject,1,0
nK7eZEURiJ4,3.0,1.632993161855452,4,Reject,0,0,7,3,3,3,4,4,3,3.0,3,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
SvFQBlffMB,5.25,0.5,4,Reject,0,0,8,3,3,3,4,4,3,3.0,4,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
uVXEKeqJbNa,6.5,1.0,4,Accept (Poster),1,1,7,4,3,4,4,4,3,4.0,4,Accept,5,3,3,3,4,4,3,3,3,Reject,1,0
sTNHCrIKDQc,7.333333333333333,1.1547005383792517,3,Accept (Poster),1,1,8,4,3,4,4,4,4,4.0,4,Accept,7,3,3,4,4,4,3,3,3,Accept,1,1
yztpblfGkZ-,4.4,1.3416407864998738,5,Reject,0,0,8,4,4,4,4,4,4,4.0,4,Accept,4,3,3,3,4,4,3,3,3,Reject,1,0
FqKolXKrQGA,4.6,1.51657508881031,5,Reject,0,0,7,4,4,4,4,4,3,4.0,4,Accept,6,3,3,3,4,3,3,3,3,Accept,1,1
34mWBCWMxh9,5.75,1.5,4,Reject,0,0,7,4,3,3,4,3,4,4.0,4,Accept,4,2,2,3,4,3,2,2,3,Reject,1,0
ZaVVVlcdaN,5.5,0.5773502691896257,4,Accept (Poster),1,1,7,4,3,4,4,4,4,4.0,4,Accept,4,2,2,2,4,3,2,2,3,Reject,1,0
YJ1WzgMVsMt,7.2,1.0954451150103321,5,Accept (Spotlight),2,1,8,4,3,4,4,4,4,3.0,4,Accept,6,3,2,3,4,3,3,2,3,Reject,1,0
kG0AtPi6JI1,5.25,1.5,4,Accept (Poster),1,1,7,3,3,3,4,4,4,3.0,3,Accept,6,3,3,3,4,4,3,3,3,Reject,1,0
o9DnX55PEAo,4.666666666666667,1.5275252316519465,3,Reject,0,0,7,3,3,3,4,3,3,3.0,3,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
68n2s9ZJWF8,6.0,1.4142135623730951,4,Accept (Poster),1,1,9,4,4,4,4,4,4,4.0,4,Accept,7,3,3,4,4,4,3,3,4,Accept,1,1
z7DAilcTx7,5.0,0.0,3,Reject,0,0,8,3,3,3,4,4,3,3.0,4,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
EcGGFkNTxdJ,6.5,1.0,4,Accept (Poster),1,1,8,4,3,4,4,4,4,4.0,4,Accept,7,3,3,4,4,4,3,3,4,Accept,1,1
3pZTPQjeQDR,6.0,0.0,3,Reject,0,0,7,3,3,3,4,4,3,3.0,3,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
AJO2mBSTOHl,3.0,0.0,4,Reject,0,0,6,3,3,3,4,4,3,4.0,4,Accept,4,2,2,2,4,3,2,2,3,Reject,1,0
YevsQ05DEN7,6.2,1.0954451150103321,5,Accept (Poster),1,1,7,3,4,3,4,3,4,4.0,3,Accept,7,3,3,3,4,3,3,3,3,Reject,1,0
6Q52pZ-Th7N,6.333333333333333,1.5275252316519465,3,Accept (Poster),1,1,8,4,3,4,4,4,4,4.0,4,Accept,7,3,3,3,4,4,3,3,4,Reject,1,0
XJFGyJEBLuz,4.666666666666667,2.8867513459481287,3,Reject,0,0,8,3,3,3,4,4,3,3.0,4,Accept,4,3,3,3,4,3,3,3,3,Reject,1,0
u7UxOTefG2,5.333333333333333,0.5773502691896258,3,Reject,0,0,7,3,4,4,4,4,4,4.0,4,Accept,4,2,2,2,4,3,3,3,3,Reject,1,0
30nbp1eV0dJ,5.25,2.0615528128088303,4,Reject,0,0,8,4,3,4,4,4,4,3.0,4,Accept,6,3,3,3,4,3,3,3,4,Reject,1,0
AJAR-JgNw__,7.5,1.0,4,Accept (Spotlight),2,1,8,3,3,3,4,3,3,3.0,4,Accept,6,3,3,3,4,4,3,3,3,Accept,1,1
Uxppuphg5ZL,4.75,1.2583057392117916,4,Reject,0,0,7,3,3,4,4,4,3,3.0,4,Accept,6,3,3,3,4,4,3,3,3,Reject,1,0
3PN4iyXBeF,5.8,1.7888543819998317,5,Accept (Poster),1,1,8,4,3,4,4,3,4,3.0,4,Accept,7,3,3,3,4,4,3,3,4,Accept,1,1
Ih7LAeOYIb0,5.25,0.5,4,Reject,0,0,7,3,3,4,4,3,3,4.0,4,Accept,7,3,3,3,4,3,3,3,3,Reject,1,0
7Bc2U-dLJ6N,5.25,0.5,4,Reject,0,0,7,3,3,4,4,3,3,3.0,3,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
rTAclwH46Tb,6.5,1.0,4,Accept (Poster),1,1,7,3,3,3,4,4,3,4.0,3,Accept,6,3,3,3,4,4,4,3,4,Reject,1,0
ZumkmSpY9G4,5.25,0.5,4,Reject,0,0,8,4,4,4,4,4,4,4.0,4,Accept,6,3,3,3,4,4,3,3,4,Reject,1,0
MkTPtnjeYTV,8.0,0.0,3,Accept (Spotlight),2,1,8,4,3,4,4,4,4,4.0,4,Accept,4,3,2,2,4,3,3,1,2,Reject,1,0
hOaYDFpQk3g,4.428571428571429,1.3972762620115438,7,Reject,0,0,8,3,3,3,4,3,3,3.0,4,Accept,5,3,2,3,4,3,3,3,3,Reject,1,0
7MV6uLzOChW,7.5,1.0,4,Accept (Poster),1,1,7,4,4,3,4,4,3,4.0,3,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
vcUmUvQCloe,7.0,1.7320508075688772,3,Accept (Poster),1,1,7,4,3,3,4,4,3,3.0,3,Accept,4,3,2,2,4,3,3,2,3,Reject,1,0
fHeK814NOMO,6.666666666666667,2.503331114069145,6,Reject,0,0,7,3,3,3,4,4,3,4.0,3,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
rqolQhuq6Hs,5.0,1.7320508075688772,3,Reject,0,0,7,4,3,4,4,4,3,4.0,4,Accept,5,2,2,3,4,3,3,2,3,Reject,1,0
sBT5nxwt18Q,4.25,1.5,4,Reject,0,0,7,3,3,3,4,3,3,3.0,3,Accept,4,2,2,2,4,3,2,2,3,Reject,1,0
49A1Y6tRhaq,6.25,2.362907813126304,4,Accept (Spotlight),2,1,7,3,3,3,4,4,3,4.0,3,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
9W2KnHqm_xN,5.25,0.5,4,Reject,0,0,7,3,3,4,4,4,4,3.0,4,Accept,6,3,3,3,4,3,3,3,4,Reject,1,0
p98WJxUC3Ca,6.0,0.0,4,Accept (Poster),1,1,6,3,3,3,4,3,3,3.0,3,Accept,6,3,2,3,4,3,3,2,3,Reject,1,0
Gx6Tvlm-hWW,6.0,0.0,4,Reject,0,0,7,4,4,4,4,4,3,4.0,4,Accept,7,3,3,3,4,4,3,3,4,Accept,1,1
lu_DAxnWsh,3.0,0.0,4,Reject,0,0,7,3,4,3,4,4,3,4.0,4,Accept,4,3,3,2,4,3,3,3,3,Reject,1,0
HfUyCRBeQc,6.0,1.4142135623730951,4,Accept (Poster),1,1,7,3,3,3,4,4,3,3.0,4,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
8e2vrVvvaeQ,6.0,2.449489742783178,4,Reject,0,0,7,3,3,4,4,4,3,3.0,4,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
O476oWmiNNp,6.0,0.0,3,Accept (Poster),1,1,8,4,3,4,4,4,4,3.0,4,Accept,6,3,3,3,4,4,3,3,3,Accept,1,1
JLbXkHkLCG6,4.5,1.0,4,Reject,0,0,7,3,4,3,4,4,3,4.0,4,Accept,6,3,3,3,4,3,3,3,3,Reject,1,0
UTTrevGchy,5.5,0.5773502691896257,4,Reject,0,0,7,3,3,3,3,3,3,3.0,3,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
CgV7NVOgDJZ,5.25,2.0615528128088303,4,Reject,0,0,7,4,4,4,4,4,4,4.0,4,Accept,4,2,2,3,4,3,2,2,3,Reject,1,0
o_HsiMPYh_x,7.0,1.4142135623730951,5,Accept (Poster),1,1,8,4,4,4,4,3,4,4.0,4,Accept,6,3,2,3,4,3,3,3,3,Reject,1,0
LhObGCkxj4,6.0,0.0,4,Reject,0,0,4,3,2,2,4,3,2,2.0,3,Reject,4,3,3,3,4,3,3,3,3,Reject,0,0
0SiVrAfIxOe,5.0,0.0,3,Reject,0,0,7,3,3,4,4,4,3,3.0,4,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
Fza94Y8VS4a,6.25,1.2583057392117916,4,Accept (Poster),1,1,8,4,3,4,4,4,4,3.0,4,Accept,6,3,3,3,4,4,3,3,4,Reject,1,0
aYAA-XHKyk,6.25,1.2583057392117916,4,Accept (Poster),1,1,7,4,3,4,4,4,3,4.0,4,Accept,7,3,3,3,4,3,3,3,3,Reject,1,0
2sDQwC_hmnM,5.666666666666667,0.5773502691896258,3,Accept (Poster),1,1,7,3,3,3,4,4,3,3.0,3,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
mF122BuAnnW,4.75,2.362907813126304,4,Reject,0,0,8,4,3,4,4,4,4,3.0,4,Accept,5,3,3,3,4,4,3,2,3,Reject,1,0
fRnRsdc_nR7,4.75,1.2583057392117916,4,Reject,0,0,7,3,4,3,4,3,3,4.0,3,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
mZsZy481_F,3.5,1.0,4,Reject,0,0,5,3,2,3,3,3,3,3.0,3,Reject,5,3,2,3,4,3,3,2,3,Reject,0,0
K47zHehHcRc,4.25,1.5,4,Reject,0,0,5,2,2,2,3,2,2,3.0,2,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
F0v5uBM-q5K,4.25,1.5,4,Reject,0,0,8,4,3,4,4,4,4,4.0,4,Accept,7,3,3,3,4,3,3,3,4,Reject,1,0
ChKNCDB0oYj,2.3333333333333335,1.1547005383792515,3,Reject,0,0,6,3,2,3,4,3,3,3.0,3,Accept,5,3,2,3,4,3,3,3,3,Reject,1,0
nhN-fqxmNGx,5.75,2.0615528128088303,4,Accept (Poster),1,1,8,4,3,3,4,3,4,3.0,4,Accept,5,3,2,3,4,3,3,3,4,Reject,1,0
mRc_t2b3l1-,5.0,1.4142135623730951,4,Reject,0,0,7,4,3,4,4,4,4,3.0,4,Accept,6,3,3,3,4,3,3,3,4,Reject,1,0
-3Qj7Jl6UP5,3.0,0.0,4,Reject,0,0,7,3,3,3,4,3,3,3.0,4,Accept,5,3,2,3,4,3,3,3,3,Reject,1,0
alaQzRbCY9w,4.5,1.0,4,Reject,0,0,7,3,3,3,4,3,3,3.0,3,Accept,5,3,3,3,4,3,3,3,3,Reject,1,0
TKrlyiqKWB,4.5,1.7320508075688772,4,Reject,0,0,7,3,3,4,4,4,3,3.0,4,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
w8HXzn2FyKm,5.0,0.0,5,Reject,0,0,7,4,3,4,4,4,4,3.0,4,Accept,6,3,3,3,4,4,3,3,4,Reject,1,0
e-JV6H8lwpl,4.666666666666667,1.5275252316519465,3,Reject,0,0,7,3,4,3,4,4,3,4.0,3,Accept,5,3,2,3,4,3,3,2,3,Reject,1,0
ZWykq5n4zx,6.5,1.0,4,Reject,0,0,7,4,3,3,4,3,4,2.0,3,Accept,6,3,3,3,4,3,3,3,4,Reject,1,0
3mgYqlH60Uj,5.75,0.5,4,Reject,0,0,7,3,3,3,4,3,3,3.0,3,Accept,5,2,2,3,4,3,2,2,3,Reject,1,0
z7p2V6KROOV,7.5,1.0,4,Accept (Oral),3,1,7,4,4,4,4,3,4,4.0,4,Accept,6,3,3,3,4,2,3,4,3,Reject,1,0
3Li0OPkhQU,4.5,1.0,4,Reject,0,0,7,3,3,3,4,3,3,3.0,4,Accept,5,3,2,3,4,3,3,2,2,Reject,1,0
