orig_p_value,repro_p_value,diff_p,abs_diff_p,repro_outcome_overall,preciso
0.009,0.009,0.0,0.0,precise,True
0.01,0.002,-0.008,0.008,not,False
3.324167e-10,0.0,-3.324167e-10,3.324167e-10,approximate,False
0.001,0.0,-0.001,0.001,not,False
0.001,0.0,-0.001,0.001,approximate,False
0.01,0.01,0.0,0.0,push button,True
0.01,0.01,0.0,0.0,push button,True
0.01,0.01,0.0,0.0,push button,True
0.05,0.05,0.0,0.0,push button,True
0.05,0.0191862,-0.030813800000000002,0.030813800000000002,approximate,False
2.682781e-06,2.695e-06,1.2218999999999959e-08,1.2218999999999959e-08,precise,True
0.016,0.01617,0.00017,0.00017,approximate,False
0.048,0.0482,0.0001999999999999988,0.0001999999999999988,precise,True
0.05,0.0001596,-0.0498404,0.0498404,approximate,False
0.03899061,0.010738,-0.028252610000000004,0.028252610000000004,not,False
0.04526602,0.045464,0.00019798000000000038,0.00019798000000000038,not,False
0.05,0.092186,0.042186,0.042186,not,False
0.01,0.0,-0.01,0.01,precise,True
0.05,0.011,-0.03900000000000001,0.03900000000000001,precise,True
0.01,0.003,-0.007,0.007,precise,True
0.05,0.021,-0.029,0.029,precise,True
0.05,0.015,-0.035,0.035,precise,True
0.05,0.023,-0.027000000000000003,0.027000000000000003,precise,True
0.05,0.017,-0.033,0.033,precise,True
0.05,0.042,-0.008,0.008,precise,True
0.001,0.0,-0.001,0.001,push button,True
0.05,0.022,-0.028000000000000004,0.028000000000000004,push button,True
0.1,0.088,-0.01200000000000001,0.01200000000000001,push button,True
0.1,0.071,-0.029000000000000012,0.029000000000000012,push button,True
0.05,0.036,-0.014000000000000005,0.014000000000000005,push button,True
0.001,0.0,-0.001,0.001,push button,True
0.05,0.049,-0.0010000000000000009,0.0010000000000000009,push button,True
0.016,0.016,0.0,0.0,push button,True
0.001,0.0,-0.001,0.001,approximate,False
0.001,6.678e-05,-0.00093322,0.00093322,precise,True
0.002,0.001539,-0.00046100000000000004,0.00046100000000000004,precise,True
0.001,9.336e-06,-0.000990664,0.000990664,precise,True
0.001,0.0002538,-0.0007462,0.0007462,precise,True
0.001,1.257e-05,-0.00098743,0.00098743,precise,True
0.001,0.0,-0.001,0.001,approximate,False
0.05,0.015,-0.035,0.035,approximate,False
0.001,0.0,-0.001,0.001,approximate,False
0.015,0.015,0.0,0.0,approximate,False
0.05,0.034,-0.016,0.016,approximate,False
0.05,0.034,-0.016,0.016,push button,True
0.001,1.39e-05,-0.0009861,0.0009861,not,False
0.001,5.86e-10,-0.000999999414,0.000999999414,not,False
0.001,1.72e-07,-0.000999828,0.000999828,not,False
0.001,0.00518,0.00418,0.00418,not,False
0.001,0.0224,0.0214,0.0214,not,False
0.001,4.23e-11,-0.0009999999577,0.0009999999577,not,False
0.001,5.35e-207,-0.001,0.001,not,False
0.05,0.010529506,-0.039470494,0.039470494,not,False
0.001,8.120623e-05,-0.0009187937700000001,0.0009187937700000001,approximate,False
0.001,0.00562246,0.00462246,0.00462246,approximate,False
0.0,0.0,0.0,0.0,push button,True
0.0001,0.0001,0.0,0.0,push button,True
0.05,0.011,-0.03900000000000001,0.03900000000000001,push button,True
0.01,0.0,-0.01,0.01,push button,True
0.01,0.0,-0.01,0.01,push button,True
0.05,0.0,-0.05,0.05,precise,True
0.05,0.01,-0.04,0.04,precise,True
0.05,0.0,-0.05,0.05,precise,True
0.001,0.0,-0.001,0.001,push button,True
0.002,0.002,0.0,0.0,push button,True
0.01,0.006,-0.004,0.004,approximate,False
0.03,0.081,0.051000000000000004,0.051000000000000004,not,False
0.09,0.087,-0.0030000000000000027,0.0030000000000000027,push button,True
0.1,0.065,-0.035,0.035,precise,True
0.05,8.85e-06,-0.049991150000000005,0.049991150000000005,push button,True
0.05,0.012,-0.038000000000000006,0.038000000000000006,precise,True
0.01,0.0427,0.0327,0.0327,not,False
0.001,0.0,-0.001,0.001,precise,True
0.001,0.0,-0.001,0.001,precise,True
0.001,0.0,-0.001,0.001,precise,True
0.001,0.0,-0.001,0.001,precise,True
0.006,0.006,0.0,0.0,precise,True
0.0001549884,0.000155,1.159999999999833e-08,1.159999999999833e-08,precise,True
0.072,0.072,0.0,0.0,precise,True
0.017,0.01666001,-0.0003399900000000018,0.0003399900000000018,precise,True
0.05,0.020693,-0.029307000000000003,0.029307000000000003,not,False
0.01,5.96901055e-06,-0.00999403098945,0.00999403098945,not,False
0.01,0.02781,0.01781,0.01781,not,False
0.05,0.021,-0.029,0.029,push button,True
0.05,0.018,-0.032,0.032,push button,True
0.05,0.021,-0.029,0.029,push button,True
0.001,0.009,0.008,0.008,approximate,False
0.05,0.011,-0.03900000000000001,0.03900000000000001,push button,True
0.05,0.035,-0.015,0.015,push button,True
0.16,0.252,0.092,0.092,not,False
5.701161999999999e-19,0.0,-5.701161999999999e-19,5.701161999999999e-19,push button,True
0.01,0.01,0.0,0.0,precise,True
0.001,0.0,-0.001,0.001,precise,True
0.001,0.0,-0.001,0.001,precise,True
0.001,0.0,-0.001,0.001,precise,True
0.376,0.376,0.0,0.0,precise,True
0.001,0.0,-0.001,0.001,not,False
0.31,0.31,0.0,0.0,precise,True
0.001,0.0,-0.001,0.001,approximate,False
0.001,0.001,0.0,0.0,approximate,False
0.001,0.0,-0.001,0.001,approximate,False
0.828,0.828,0.0,0.0,approximate,False
0.019,0.019,0.0,0.0,push button,True
0.0,0.0,0.0,0.0,push button,True
0.0,0.0,0.0,0.0,push button,True
0.005,0.0,-0.005,0.005,push button,True
0.005,0.00514,0.0001399999999999995,0.0001399999999999995,push button,True
0.0,2.55e-08,2.55e-08,2.55e-08,push button,True
0.05,0.032,-0.018000000000000002,0.018000000000000002,precise,True
0.05,0.047,-0.0030000000000000027,0.0030000000000000027,precise,True
0.05,0.047,-0.0030000000000000027,0.0030000000000000027,precise,True
0.001,0.0,-0.001,0.001,approximate,False
0.01,0.001,-0.009000000000000001,0.009000000000000001,approximate,False
0.001,0.0,-0.001,0.001,approximate,False
0.01,0.011,0.0009999999999999992,0.0009999999999999992,precise,True
0.408,0.415,0.007000000000000006,0.007000000000000006,approximate,False
0.05,0.000362,-0.049638,0.049638,not,False
0.01,0.01824,0.008239999999999999,0.008239999999999999,approximate,False
0.05,0.10616,0.05616,0.05616,not,False
0.023,0.02341,0.00041000000000000064,0.00041000000000000064,approximate,False
0.01,0.001,-0.009000000000000001,0.009000000000000001,push button,True
0.012,0.01233,0.00033000000000000043,0.00033000000000000043,approximate,False
0.01,0.0,-0.01,0.01,push button,True
0.01,0.0,-0.01,0.01,push button,True
0.01,0.001,-0.009000000000000001,0.009000000000000001,push button,True
0.01,0.0,-0.01,0.01,push button,True
0.01,0.0,-0.01,0.01,push button,True
0.02,0.024,0.004,0.004,push button,True
0.001,0.001,0.0,0.0,approximate,False
0.001,0.001,0.0,0.0,approximate,False
0.0,0.0,0.0,0.0,not,False
0.0,0.0,0.0,0.0,not,False
0.0,0.0,0.0,0.0,not,False
0.0,0.0,0.0,0.0,not,False
0.0,3.6932329e-10,3.6932329e-10,3.6932329e-10,not,False
0.01,1.22e-11,-0.0099999999878,0.0099999999878,not,False
0.01,2.14e-11,-0.0099999999786,0.0099999999786,not,False
0.01,0.062695,0.052695,0.052695,not,False
0.01,1.29e-10,-0.009999999871,0.009999999871,not,False
0.01,0.0495,0.0395,0.0395,not,False
7.465181e-16,0.0495,0.04949999999999925,0.04949999999999925,not,False
0.4,0.007,-0.393,0.393,not,False
0.008065917,0.008,-6.59170000000004e-05,6.59170000000004e-05,push button,True
0.05,0.313,0.263,0.263,not,False
0.05,0.057,0.006999999999999999,0.006999999999999999,approximate,False
0.01,0.0,-0.01,0.01,not,False
0.01,0.0438,0.0338,0.0338,not,False
0.01,0.0,-0.01,0.01,not,False
0.05,0.265,0.21500000000000002,0.21500000000000002,not,False
0.1,0.484,0.384,0.384,not,False
0.001,0.000174,-0.000826,0.000826,not,False
0.001,0.002,0.001,0.001,not,False
0.1,0.305,0.205,0.205,not,False
0.05,0.752,0.702,0.702,not,False
0.001,0.0,-0.001,0.001,approximate,False
0.01,0.003,-0.007,0.007,push button,True
5.624839e-06,2e-06,-3.624839e-06,3.624839e-06,approximate,False
0.01,0.005,-0.005,0.005,push button,True
1.362e-06,0.0,-1.362e-06,1.362e-06,push button,True
0.006,0.00603,2.9999999999999645e-05,2.9999999999999645e-05,push button,True
0.0008815111,0.0,-0.0008815111,0.0008815111,precise,True
0.022,0.022,0.0,0.0,push button,True
0.05,0.0,-0.05,0.05,push button,True
0.05,0.021,-0.029,0.029,precise,True
0.031,0.0313,0.00030000000000000165,0.00030000000000000165,precise,True
3.243e-07,1.21e-07,-2.033e-07,2.033e-07,approximate,False
0.008332332,0.069084,0.06075166800000001,0.06075166800000001,not,False
0.01,0.0,-0.01,0.01,push button,True
0.05,0.029,-0.021,0.021,push button,True
0.03235477,0.0162,-0.01615477,0.01615477,push button,True
0.05,0.043,-0.007000000000000006,0.007000000000000006,push button,True
0.01,0.003,-0.007,0.007,push button,True
0.01,0.0,-0.01,0.01,push button,True
0.01862707,0.0147,-0.0039270699999999995,0.0039270699999999995,approximate,False
0.01,0.0,-0.01,0.01,push button,True
0.1,0.001,-0.099,0.099,push button,True
0.0,0.0,0.0,0.0,precise,True
0.001,0.0,-0.001,0.001,precise,True
0.05,0.0,-0.05,0.05,precise,True
0.001,0.0,-0.001,0.001,push button,True
0.05,0.05,0.0,0.0,approximate,False
0.03,0.03,0.0,0.0,precise,True
0.05,0.012,-0.038000000000000006,0.038000000000000006,push button,True
0.051,0.051,0.0,0.0,push button,True
1.783842e-07,0.0,-1.783842e-07,1.783842e-07,push button,True
0.01,0.0,-0.01,0.01,push button,True
0.032,0.037,0.0049999999999999975,0.0049999999999999975,approximate,False
0.01,0.002,-0.008,0.008,push button,True
0.01,0.001,-0.009000000000000001,0.009000000000000001,not,False
0.01152658,0.012,0.00047342000000000044,0.00047342000000000044,push button,True
0.002,0.002,0.0,0.0,push button,True
0.01,0.004,-0.006,0.006,push button,True
0.1,0.014,-0.08600000000000001,0.08600000000000001,not,False
0.004,0.0043,0.0002999999999999999,0.0002999999999999999,push button,True
0.07,0.0703,0.0002999999999999947,0.0002999999999999947,push button,True
0.02,0.016,-0.004,0.004,push button,True
1.945277e-10,0.0,-1.945277e-10,1.945277e-10,push button,True
0.05,0.09099,0.04099,0.04099,not,False
0.01763205,0.019,0.0013679499999999997,0.0013679499999999997,push button,True
0.001,0.019,0.018,0.018,not,False
0.0002292735,0.046133,0.0459037265,0.0459037265,not,False
1.048562e-49,0.0,-1.048562e-49,1.048562e-49,approximate,False
0.05011041,0.558,0.50788959,0.50788959,not,False
0.01,0.0,-0.01,0.01,not,False
0.001,0.166,0.165,0.165,not,False
0.01,0.006,-0.004,0.004,precise,True
0.001,0.559,0.558,0.558,not,False
0.046,0.00999,-0.03601,0.03601,not,False
0.001,8.81e-09,-0.00099999119,0.00099999119,push button,True
0.002,0.009,0.006999999999999999,0.006999999999999999,approximate,False
0.001,0.0,-0.001,0.001,precise,True
0.001,0.676,0.675,0.675,not,False
0.012,0.0073,-0.0047,0.0047,approximate,False
0.038,0.03769,-0.0003099999999999978,0.0003099999999999978,push button,True
0.029,0.106,0.077,0.077,not,False
0.001,4.85e-09,-0.00099999515,0.00099999515,precise,True
0.001,4.796e-16,-0.0009999999999995204,0.0009999999999995204,approximate,False
0.001,0.0,-0.001,0.001,precise,True
0.01,0.01,0.0,0.0,push button,True
0.0001,0.0,-0.0001,0.0001,approximate,False
0.001,0.037,0.036,0.036,not,False
1e-05,0.00048058,0.00047057999999999996,0.00047057999999999996,approximate,False
0.001,0.0,-0.001,0.001,push button,True
0.001,0.0,-0.001,0.001,precise,True
0.001,0.0,-0.001,0.001,not,False
0.0053,0.0053,0.0,0.0,push button,True
0.001,0.0,-0.001,0.001,precise,True
0.001,0.0,-0.001,0.001,push button,True
0.001,0.0,-0.001,0.001,push button,True
0.001,0.0,-0.001,0.001,approximate,False
0.03,0.0292,-0.0007999999999999986,0.0007999999999999986,push button,True
0.008,0.07622,0.06822,0.06822,not,False
0.008,0.00147,-0.00653,0.00653,not,False
0.012,0.09469,0.08269,0.08269,not,False
0.007,0.002581,-0.004419,0.004419,not,False
0.01,0.0,-0.01,0.01,push button,True
0.01,0.006,-0.004,0.004,push button,True
0.01,0.0,-0.01,0.01,push button,True
0.05,0.012,-0.038000000000000006,0.038000000000000006,push button,True
0.01,0.0,-0.01,0.01,push button,True
0.12,0.112,-0.007999999999999993,0.007999999999999993,push button,True
0.05,0.023,-0.027000000000000003,0.027000000000000003,push button,True
0.01,0.009,-0.0010000000000000009,0.0010000000000000009,push button,True
0.05,0.013,-0.037000000000000005,0.037000000000000005,push button,True
0.05,0.016,-0.034,0.034,push button,True
0.01,0.007,-0.003,0.003,push button,True
0.01,0.009,-0.0010000000000000009,0.0010000000000000009,push button,True
0.01,0.006,-0.004,0.004,push button,True
0.01,0.0100417,4.170000000000042e-05,4.170000000000042e-05,approximate,False
0.05,0.033,-0.017,0.017,push button,True
0.05,0.048,-0.0020000000000000018,0.0020000000000000018,push button,True
0.01,0.006,-0.004,0.004,push button,True
0.1,0.076,-0.024000000000000007,0.024000000000000007,push button,True
0.1,0.09,-0.010000000000000009,0.010000000000000009,push button,True
0.05,0.05040918,0.0004091799999999951,0.0004091799999999951,approximate,False
0.05,0.028,-0.022000000000000002,0.022000000000000002,push button,True
0.02,0.01953,-0.00047000000000000167,0.00047000000000000167,precise,True
0.001,0.0001666,-0.0008334,0.0008334,precise,True
0.05,0.05438,0.004379999999999995,0.004379999999999995,approximate,False
0.02,0.0839,0.0639,0.0639,not,False
0.05,0.023,-0.027000000000000003,0.027000000000000003,approximate,False
0.001,5.3756e-05,-0.0009462440000000001,0.0009462440000000001,approximate,False
0.05,0.0,-0.05,0.05,not,False
0.02,0.02,0.0,0.0,precise,True
0.0006305039,0.018,0.0173694961,0.0173694961,not,False
0.001,0.001,0.0,0.0,approximate,False
0.0005403,0.00054,-2.999999999999531e-07,2.999999999999531e-07,approximate,False
0.00255072,0.0025,-5.071999999999976e-05,5.071999999999976e-05,precise,True
