genome_name,assembly_type,genome_size_mb,busco_complete_pct,completeness_pct,n_contigs,gc_pct,n50_kb,is_representative,taxonomy
T2111217717,SAG,65.45,85.4,89.5,8718,18.07,13.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
SRR16953745,SAG,71.24,84.8,91.2,12691,18.05,10.0,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
T2202233814,SAG,62.67,83.0,88.8,9307,18.13,11.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
H28,SAG,41.24,68.4,69.6,6298,18.25,9.9,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
SRR16953777,SAG,68.79,85.9,90.6,11240,18.32,11.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
T2111217719,SAG,67.48,84.8,88.3,9912,18.06,12.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
T2111217714,SAG,62.98,83.1,87.8,9772,18.09,10.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
T2202233860,SAG,67.38,84.2,88.3,9610,18.08,12.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
T2202233812,SAG,59.81,80.7,84.8,8520,18.11,11.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
T2111217715,SAG,67.47,83.6,87.1,10081,18.06,12.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
co-rumen_bin498,MAG,59.96,80.1,87.7,10786,18.14,8.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
co-rumen_bin305,MAG,60.99,79.5,86.5,8096,17.94,11.2,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
co-rumen_bin1610,MAG,53.7,70.1,81.2,15818,18.06,3.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
co-rumen_bin318,MAG,45.17,62.5,73,13608,17.97,3.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
co-rumen_bin187,MAG,42.4,59.0,66,13727,18.38,3.3,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
T2202233858,SAG,64.37,86.5,89.4,9034,18.06,12.9,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
SRR16953756,SAG,70.36,85.4,88.3,12776,18.07,9.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
T2202233815,SAG,62.74,83.1,86,9202,18.17,11.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
T2111217718,SAG,62.47,83.6,87.1,9228,18.08,11.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
T2202233846,SAG,43.58,69.6,76,12927,18.43,4.3,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
co-rumen_bin226,MAG,63.79,80.2,87.8,14317,17.98,5.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
co-rumen_bin176,MAG,61.06,79.0,87.8,13679,17.97,5.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
co-rumen_bin816,MAG,59.04,73.1,81.9,13853,17.98,5.2,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
co-reticulum_bin731,MAG,73.2,74.9,84.3,22355,17.82,3.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha intestinalis
SRR16953783,SAG,34.4,76.1,80.2,5740,18.5,9.3,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha prostoma
co-rumen_bin632,MAG,45.58,77.2,83.6,11244,17.6,5.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha prostoma
D2114763A,SAG,16.41,64.9,67.8,6332,19.75,3.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha prostoma
T2202233816,SAG,56.87,87.2,90.7,7035,17.25,15.4,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha prostoma
T2111217740,SAG,58.82,86.5,90,6595,17.25,20.2,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha prostoma
D2,SAG,53.08,87.1,90.6,5892,17.45,18.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha prostoma
co-rumen_bin492,MAG,66.75,73.6,84.1,11192,17.13,8.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha prostoma
JZ24006091,SAG,15.71,59.7,64.4,7485,22.18,2.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha prostoma
D2114771A,SAG,55.64,88.3,91.2,10259,17.74,9.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha prostoma
co-reticulum_bin1014,MAG,97.44,64.9,81.9,30267,17.16,3.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha prostoma
T2202233862,SAG,59.73,87.1,91.2,6731,17.12,20.0,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha prostoma
SRR16953798,SAG,46.96,86.5,88.3,4003,17.48,22.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha prostoma
FP100002877TR_L01_127,SAG,46.02,86.6,89.5,3835,17.63,23.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha prostoma
T2202233861,SAG,57.0,87.1,90.6,6344,17.21,19.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha prostoma
SRR16953772,SAG,52.94,86.6,90.1,6183,17.61,18.1,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha prostoma
co-rumen_bin326,MAG,28.01,47.4,56.8,4898,16.82,8.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha prostoma
co-rumen_bin16,MAG,30.03,41.5,54.4,9056,17.27,3.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha prostoma
co-rumen_bin897,MAG,25.53,36.9,50.9,9529,17.96,2.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha prostoma
co-rumen_bin21,MAG,36.08,35.7,50.9,10795,16.97,3.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha prostoma
co-rumen_bin1428,MAG,52.47,53.2,72.5,12937,17.09,5.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha prostoma
co-rumen_bin719,MAG,25.67,38.6,56.1,5890,17.74,5.3,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha prostoma
co-rumen_bin726,MAG,38.5,42.7,63.2,9979,17.05,4.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha prostoma
co-rumen_bin708,MAG,45.82,45.0,62,11183,17.07,5.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha prostoma
co-rumen_bin190,MAG,84.63,72.5,80.7,34201,17.88,2.5,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG1
co-rumen_bin679,MAG,15.2,36.2,52.6,3657,43.1,4.9,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG2
SRR16953763,SAG,52.32,88.9,91.2,3853,17.71,28.9,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG3
SRR16953762,SAG,52.65,88.3,91.8,3790,17.71,28.4,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG3
SRR16953764,SAG,53.51,87.8,90.1,4048,17.65,27.6,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG3
SRR16953765,SAG,54.85,88.3,91.2,4834,17.56,22.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG3
T2202233895,SAG,54.89,87.7,90.6,4399,17.63,25.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG3
SRR16953761,SAG,53.69,88.9,91.8,4155,17.59,26.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG3
co-rumen_bin1130,MAG,37.13,66.1,73.7,7236,26.76,6.5,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG4
co-rumen_bin7,MAG,45.47,55.0,65.5,20138,19.09,2.2,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG5
FP100001882BL_L01_574,SAG,42.35,82.5,87.2,3833,18.19,20.2,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG6
FP100001882BL_L01_560,SAG,60.12,84.2,88.3,7348,17.68,18.3,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG6
D12,SAG,55.55,84.8,87.7,6450,17.7,18.2,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG7
D9,SAG,52.99,86.6,89.5,5159,17.78,21.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG7
D5,SAG,56.82,85.9,88.2,6587,17.59,19.0,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG7
T2111217744,SAG,58.03,86.5,89.4,5029,17.52,30.5,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG7
T2202233849,SAG,54.68,84.8,88.3,7151,17.57,13.8,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG7
FP100001882BL_L01_562,SAG,18.92,68.4,73.7,4375,19.16,6.7,,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG7
T2202233817,SAG,57.46,86.6,90.1,5501,17.63,23.3,Yes,d__Eukaryota;p__Ciliophora;c__Litostomatea;o__Vestibuliferida;f__Isotrichidae;g__Isotricha;s__Isotricha sp. RCG7
