especie,familia
Hesperilla idothea,Hesperiidae
Hesperocharis costaricensis,Pieridae
Hesperocharis erota,Pieridae
Hesperocharis graphites,Pieridae
Hestina assimilis,Nymphalidae
Hestina persimilis,Nymphalidae
Heteronympha paradelpha,Nymphalidae
Heteropterus morpheus,Hesperiidae
Hipparchia autonoe,Nymphalidae
Hipparchia fagi,Nymphalidae
Hipparchia fatua,Nymphalidae
Hipparchia fidia,Nymphalidae
Hipparchia hermione,Nymphalidae
Hipparchia semele,Nymphalidae
Hipparchia statilinus,Nymphalidae
Historis acheronta,Nymphalidae
Historis odius,Nymphalidae
Hyalenna pascua,Nymphalidae
Hyarotis adrastus,Hesperiidae
Hylephila ancora,Hesperiidae
Hylephila herrerai,Hesperiidae
Hylephila phyleus,Hesperiidae
Hylephila venustus,Hesperiidae
Hypanartia dione,Nymphalidae
Hypanartia godmanii,Nymphalidae
Hypanartia lethe,Nymphalidae
Hypanartia trimaculata,Nymphalidae
Hypochrysops apelles,Lycaenidae
Hypochrysops apollo,Lycaenidae
Hypochrysops byzos,Lycaenidae
Hypochrysops digglesii,Lycaenidae
Hypochrysops elgneri,Lycaenidae
Hypochrysops ignita,Lycaenidae
Hypocysta metirius,Nymphalidae
Hypoleria alema,Nymphalidae
Hypolimnas antilope,Nymphalidae
Hypolimnas bolina,Nymphalidae
Hypolimnas misippus,Nymphalidae
Hypolimnas salmacis,Nymphalidae
Hypolycaena amasa,Lycaenidae
Hypolycaena danis,Lycaenidae
Hypolycaena kina,Lycaenidae
Hyponephele filistigma,Nymphalidae
Hyponephele laeta,Nymphalidae
Hyponephele lupinus,Nymphalidae
Hyponephele lycaon,Nymphalidae
Hyponephele maureri,Nymphalidae
Hypophytala henleyi,Lycaenidae
Iaspis temesa,Lycaenidae
Icaricia saepiolus,Lycaenidae
Idea leuconoe,Nymphalidae
Ideopsis juventa,Nymphalidae
Ignata norax,Lycaenidae
Infraphulia ilyodes,Pieridae
Iolana debilitata,Lycaenidae
Iolana gigantea,Lycaenidae
Iolana iolas,Lycaenidae
Iolaus glaucus,Lycaenidae
Ionotos alector,Lycaenidae
Iphiclides feisthamelii,Papilionidae
Iphiclides podalirius,Papilionidae
Ipidecla schausi,Lycaenidae
Iraota timoleon,Lycaenidae
Issoria hanningtoni,Nymphalidae
Issoria lathonia,Nymphalidae
Ithomia leila,Nymphalidae
Ithomia patilla,Nymphalidae
Itylos ludicra,Lycaenidae
Itylos pelorias,Lycaenidae
Itylos titicaca,Lycaenidae
Ixias marianne,Pieridae
Ixias pyrene,Pieridae
Jalmenus icilius,Lycaenidae
Jalmenus ictinus,Lycaenidae
Jamides abdul,Lycaenidae
Jamides alecto,Lycaenidae
Jamides aratus,Lycaenidae
Jamides bochus,Lycaenidae
Jamides celeno,Lycaenidae
Jamides pura,Lycaenidae
Japonica saepestriata,Lycaenidae
Juditha azan,Riodinidae
Juditha odites,Riodinidae
Junonia almana,Nymphalidae
Junonia atlites,Nymphalidae
Junonia coenia,Nymphalidae
Junonia cymodoce,Nymphalidae
Junonia evarete,Nymphalidae
Junonia hierta,Nymphalidae
Junonia iphita,Nymphalidae
Junonia orithya,Nymphalidae
Junonia sophia,Nymphalidae
Kallima inachus,Nymphalidae
Kaniska canace,Nymphalidae
Karanasa incerta,Nymphalidae
Karanasa leechi,Nymphalidae
Karanasa maureri,Nymphalidae
Karanasa naumanni,Nymphalidae
Karanasa pamirus,Nymphalidae
Karanasa pardesi,Nymphalidae
Karanasa pseudopamira,Nymphalidae
Kirinia epimenides,Nymphalidae
Kirinia roxelana,Nymphalidae
Kolana ergina,Lycaenidae
Kretania csomai,Lycaenidae
Kretania hespericus,Lycaenidae
Kretania nicholli,Lycaenidae
Kricogonia lyside,Pieridae
Lachnocnema emperamus,Lycaenidae
Laeosopis roboris,Lycaenidae
Lampides boeticus,Lycaenidae
Lamponia lamponia,Hesperiidae
Laparus doris,Nymphalidae
Lasaia incoides,Riodinidae
Lasiommata ananda,Nymphalidae
Lasiommata maera,Nymphalidae
Lasiommata megera,Nymphalidae
Lasiommata petropolitana,Nymphalidae
Lasippa viraja,Nymphalidae
Lemonias albofasciata,Riodinidae
Lemonias ochracea,Riodinidae
Lemonias zygia,Riodinidae
Lento krexoides,Hesperiidae
Leptalina unicolor,Hesperiidae
Leptidea amurensis,Pieridae
Leptidea morsei,Pieridae
Leptidea reali,Pieridae
Leptidea sinapis,Pieridae
Leptophobia aripa,Pieridae
Leptosia hybrida,Pieridae
Leptosia nina,Pieridae
Leptosia wigginsi,Pieridae
Leptotes marina,Lycaenidae
Leptotes pirithous,Lycaenidae
Leptotes plinius,Lycaenidae
Lestranicus transpectus,Lycaenidae
Lethe chandica,Nymphalidae
Lethe confusa,Nymphalidae
Lethe distans,Nymphalidae
Lethe europa,Nymphalidae
Lethe eurydice,Nymphalidae
Lethe gemina,Nymphalidae
Lethe hyrania,Nymphalidae
Lethe kansa,Nymphalidae
Lethe mekara,Nymphalidae
Lethe minerva,Nymphalidae
Lethe nicetas,Nymphalidae
Lethe siderea,Nymphalidae
Leucochimona icare,Riodinidae
Levina levina,Hesperiidae
Lexias pardalis,Nymphalidae
Libra anatolica,Hesperiidae
Libythea celtis,Nymphalidae
Libythea lepita,Nymphalidae
Libythea myrrha,Nymphalidae
Lieinix nemesis,Pieridae
Limenitis camilla,Nymphalidae
Limenitis doerriesi,Nymphalidae
Limenitis helmanni,Nymphalidae
Limenitis populi,Nymphalidae
Limenitis reducta,Nymphalidae
Liphyra brassolis,Lycaenidae
Liptena brophyiÿ,Lycaenidae
Lobocla bifasciatus,Hesperiidae
Lopinga achine,Nymphalidae
Lopinga deidamia,Nymphalidae
Loweia tityrus,Lycaenidae
Lucia limbaria,Lycaenidae
Luthrodes galba,Lycaenidae
Luthrodes pandava,Lycaenidae
Lycaena aditya,Lycaenidae
Lycaena alciphron,Lycaenidae
Lycaena bleusei,Lycaenidae
Lycaena dispar,Lycaenidae
Lycaena helle,Lycaenidae
Lycaena helloides,Lycaenidae
Lycaena hippothoe,Lycaenidae
Lycaena kasyapa,Lycaenidae
Lycaena lamponides,Lycaenidae
Lycaena phlaeas,Lycaenidae
Lycaena thersamon,Lycaenidae
Lycaena tityrus,Lycaenidae
Lycaena virgaureae,Lycaenidae
Lychnuchoides ozias,Hesperiidae
Lychnuchus celsus,Hesperiidae
Lycorea halia,Nymphalidae
Lysandra bellargus,Lycaenidae
Lysandra coridon,Lycaenidae
Lysandra hispana,Lycaenidae
Magnastigma hirsuta,Lycaenidae
Magneuptychia libye,Nymphalidae
Magneuptychia ocnus,Nymphalidae
Mahathala ameria,Lycaenidae
Manataria hercyna,Nymphalidae
Maniola jurtina,Nymphalidae
Marpesia chiron,Nymphalidae
Marpesia corita,Nymphalidae
Marpesia harmonia,Nymphalidae
Marpesia merops,Nymphalidae
Marpesia petreus,Nymphalidae
Marpesia tutelina,Nymphalidae
Matapa aria,Hesperiidae
Matapa cresta,Hesperiidae
Matapa druna,Hesperiidae
Matapa obscura,Hesperiidae
Mechanitis menapis,Nymphalidae
Mechanitis polymnia,Nymphalidae
Megalopalpus simplex,Lycaenidae
Megisba malaya,Lycaenidae
Melanargia arge,Nymphalidae
Melanargia galathea,Nymphalidae
Melanargia ines,Nymphalidae
Melanargia lachesis,Nymphalidae
Melanargia occitanica,Nymphalidae
Melanargia russiae,Nymphalidae
Melanis aegates,Riodinidae
Melanis smithiae,Riodinidae
Melanitis leda,Nymphalidae
Melanitis phedima,Nymphalidae
Melanitis zitenius,Nymphalidae
Melete lycimnia,Pieridae
Melitaea aetherie,Nymphalidae
Melitaea arduinna,Nymphalidae
Melitaea asteria,Nymphalidae
Melitaea athalia,Nymphalidae
Melitaea aurelia,Nymphalidae
Melitaea britomartis,Nymphalidae
Melitaea cinxia,Nymphalidae
Melitaea collina,Nymphalidae
Melitaea deione,Nymphalidae
Melitaea deserticola,Nymphalidae
Melitaea devyatkini,Nymphalidae
Melitaea diamina,Nymphalidae
Melitaea didyma,Nymphalidae
Melitaea didymoides,Nymphalidae
Melitaea fergana,Nymphalidae
Melitaea minerva,Nymphalidae
Melitaea ornata,Nymphalidae
Melitaea pallas,Nymphalidae
Melitaea parthenoides,Nymphalidae
Melitaea phoebe,Nymphalidae
Melitaea scotosia,Nymphalidae
Melitaea trivia,Nymphalidae
Melitaea varia,Nymphalidae
Memphis acidalia,Nymphalidae
Memphis anassa,Nymphalidae
Memphis moruus,Nymphalidae
Memphis otrere,Nymphalidae
Memphis philumena,Nymphalidae
Memphis pithyusa,Nymphalidae
Mesene epaphus,Riodinidae
Mesosemia moesia,Riodinidae
Mesosemia rhodia,Riodinidae
Mesosemia zonalis,Riodinidae
Mestra dorcas,Nymphalidae
Metardaris cosinga,Hesperiidae
Methona confusa,Nymphalidae
Metron chrysogastra,Hesperiidae
Meza meza,Hesperiidae
Micandra cyda,Lycaenidae
Micandra dignota,Lycaenidae
Micandra stephanieae,Lycaenidae
Michaelus ira,Lycaenidae
Michaelus thordesa,Lycaenidae
Milanion clito,Hesperiidae
Miletus boisduvali,Lycaenidae
Miletus symethus,Lycaenidae
Miltomiges cinnamomea,Hesperiidae
Mimathyma ambica,Nymphalidae
Mimathyma schrenkii,Nymphalidae
Mimoides lysithous,Papilionidae
Ministrymon cruenta,Lycaenidae
Ministrymon phrutus,Lycaenidae
Minois dryas,Nymphalidae
Mithras catrea,Lycaenidae
Mithras elis,Lycaenidae
Mnasilus allubita,Hesperiidae
Mnasitheus nella,Hesperiidae
Mnasitheus ritans,Hesperiidae
Monca branca,Hesperiidae
Moneuptychia griseldis,Nymphalidae
Moneuptychia soter,Nymphalidae
Monza cretacea,Hesperiidae
Mooreana trichoneura,Hesperiidae
Morpho aega,Nymphalidae
Morpho epistrophus,Nymphalidae
Morpho helenor,Nymphalidae
Morpho polyphemus,Nymphalidae
Morpho theseus,Nymphalidae
Mota massyla,Lycaenidae
Mycalesis adamsonii,Nymphalidae
Mycalesis anaxias,Nymphalidae
Mycalesis francisca,Nymphalidae
Mycalesis gotama,Nymphalidae
Mycalesis intermedia,Nymphalidae
Mycalesis lepcha,Nymphalidae
Mycalesis malsara,Nymphalidae
Mycalesis nicotia,Nymphalidae
Mycalesis suaveolens,Nymphalidae
Mycalesis sudra,Nymphalidae
Mylon maimon,Hesperiidae
Mylothris chloris,Pieridae
Mylothris jaopura,Pieridae
Mylothris ochracea,Pieridae
Mylothris yulei,Pieridae
Myrina silenus,Lycaenidae
Myscelia cyaniris,Nymphalidae
Myscelia orsis,Nymphalidae
Myscelus amystis,Hesperiidae
Myscelus pardalina,Hesperiidae
Mysoria barcastus,Hesperiidae
Nacaduba kurava,Lycaenidae
Nacaduba pactolus,Lycaenidae
Nacaduba pavana,Lycaenidae
Napaea joinvilea,Riodinidae
Narope cyllastros,Nymphalidae
Narope panniculus,Nymphalidae
Nastra lurida,Hesperiidae
Nathalis iole,Pieridae
Neohesperilla croceus,Hesperiidae
Neolucia agricola,Lycaenidae
Neonympha mitchellii,Nymphalidae
Neopithecops zalmora,Lycaenidae
Neozephyrus cognata,Lycaenidae
Neozephyrus quercus,Lycaenidae
Neozephyrus taxila,Lycaenidae
Neozephyrus yuasai,Lycaenidae
Neptis ananta,Nymphalidae
Neptis capnodes,Nymphalidae
Neptis cartica,Nymphalidae
Neptis hesione,Nymphalidae
Neptis hylas,Nymphalidae
Neptis mahendra,Nymphalidae
Neptis morosa,Nymphalidae
Neptis nata,Nymphalidae
Neptis obscurior,Nymphalidae
Neptis philyroides,Nymphalidae
Neptis pryeri,Nymphalidae
Neptis pseudovikasi,Nymphalidae
Neptis rivularis,Nymphalidae
Neptis sankara,Nymphalidae
Neptis sappho,Nymphalidae
Neptis speyeri,Nymphalidae
Nesiostrymon calchinia,Lycaenidae
Nesiostrymon endela,Lycaenidae
Neurellipes rhokoÿ,Lycaenidae
Nicolaea cupa,Lycaenidae
Nicolaea torris,Lycaenidae
Nicolaea xorema,Lycaenidae
Niconiades nikko,Hesperiidae
Niconiades viridis,Hesperiidae
Niphanda asialis,Lycaenidae
Niphanda cymbia,Lycaenidae
Niphanda fusca,Lycaenidae
Nisoniades bessus,Hesperiidae
Nisoniades castolus,Hesperiidae
Noctuana haematospila,Hesperiidae
Notheme erota,Riodinidae
Notocrypta curvifascia,Hesperiidae
Notocrypta paralysos,Hesperiidae
Nymphalis antiopa,Nymphalidae
Nymphalis polychloros,Nymphalidae
Nymphalis xanthomelas,Nymphalidae
Oarisma poweshiek,Hesperiidae
Ocaria thales,Lycaenidae
Ocella monophthalma,Hesperiidae
Ochlodes subhyalina,Hesperiidae
Ochlodes sylvanus,Hesperiidae
Ochlodes venata,Hesperiidae
Ocybadistes flavovittata,Hesperiidae
Ocybadistes walkeri,Hesperiidae
Odontoptilum angulata,Hesperiidae
Oeneis bore,Nymphalidae
Oeneis chryxus,Nymphalidae
Oeneis jutta,Nymphalidae
Oeneis mongolica,Nymphalidae
Oeneis norna,Nymphalidae
Oeneis uhleri,Nymphalidae
Oleria paula,Nymphalidae
Oleria victorine,Nymphalidae
Oleria zea,Nymphalidae
Onophas columbaria,Hesperiidae
Onophas watsoni,Hesperiidae
Opoptera aorsa,Nymphalidae
Opoptera sulcius,Nymphalidae
Opsiphanes cassina,Nymphalidae
Opsiphanes tamarindi,Nymphalidae
Oreixenica lathoniella,Nymphalidae
Oriens goloides,Hesperiidae
Orophila diotima,Nymphalidae
Orses cynisca,Hesperiidae
Orthos orthos,Hesperiidae
Ortilia dicoma,Nymphalidae
Ortilia orthia,Nymphalidae
Ouleus fridericus,Hesperiidae
Oxeoschistus leucospilos,Nymphalidae
Oxeoschistus puerta,Nymphalidae
Oxeoschistus tauropolis,Nymphalidae
Oxynthes corusca,Hesperiidae
Pachliopta aristolochiae,Papilionidae
Palla violinitens,Nymphalidae
Pamiria selma,Lycaenidae
Pampasatyrus glaucope,Nymphalidae
Panoquina ocola,Hesperiidae
Pantoporia sandaka,Nymphalidae
Papias phainis,Hesperiidae
Papilio aegeus,Papilionidae
Papilio agestor,Papilionidae
Papilio alexanor,Papilionidae
Papilio anactus,Papilionidae
Papilio antimachus,Papilionidae
Papilio arcturus,Papilionidae
Papilio bianor,Papilionidae
Papilio chrapkowskii,Papilionidae
Papilio clytia,Papilionidae
Papilio demoleus,Papilionidae
Papilio epycides,Papilionidae
Papilio helenus,Papilionidae
Papilio machaon,Papilionidae
Papilio macilentus,Papilionidae
Papilio memnon,Papilionidae
Papilio nephelus,Papilionidae
Papilio nireus,Papilionidae
Papilio polymnestor,Papilionidae
Papilio polytes,Papilionidae
Papilio polyxenes,Papilionidae
Papilio protenor,Papilionidae
Papilio sosia,Papilionidae
Paralasa aliceae,Nymphalidae
Paralasa kalinda,Nymphalidae
Paralasa nepalica,Nymphalidae
Paralucia pyrodiscus,Lycaenidae
Parantica aglea,Nymphalidae
Parantica melaneus,Nymphalidae
Parantica sita,Nymphalidae
Pararge aegeria,Nymphalidae
Parasarpa daraxa,Nymphalidae
Parasarpa dudu,Nymphalidae
Parasarpa zulema,Nymphalidae
Pareuptychia metaleuca,Nymphalidae
Pareuptychia ocirrhoe,Nymphalidae
Pareuptychia summandosa,Nymphalidae
Parides ascanius,Papilionidae
Parides bunichus,Papilionidae
Parides erithalion,Papilionidae
Parides eurimedes,Papilionidae
Parides iphidamas,Papilionidae
Parides klagesi,Papilionidae
Parides neophilus,Papilionidae
Parides panares,Papilionidae
Parides sesostris,Papilionidae
Parnara amalia,Hesperiidae
Parnara ganga,Hesperiidae
Parnara guttatus,Hesperiidae
Parnara naso,Hesperiidae
Parnassius apollo,Papilionidae
Parnassius bremeri,Papilionidae
Parnassius epaphus,Papilionidae
Parnassius kumaonensis,Papilionidae
Parnassius mnemosyne,Papilionidae
Parnassius stenosemus,Papilionidae
Parphorus pseudecorus,Hesperiidae
Parrhasius polibetes,Lycaenidae
Parrhasius selika,Lycaenidae
Parvospila lucianus,Riodinidae
Paryphthimoides eous,Nymphalidae
Paryphthimoides grimon,Nymphalidae
Paryphthimoides numilia,Nymphalidae
Paryphthimoides phronius,Nymphalidae
Passova passova,Hesperiidae
Paulogramma pyracmon,Nymphalidae
Pedaliodes circumducta,Nymphalidae
Pedaliodes garlaczi,Nymphalidae
Pedaliodes pisonia,Nymphalidae
Pelopidas agna,Hesperiidae
Pelopidas conjuncta,Hesperiidae
Pelopidas mathias,Hesperiidae
Pelopidas sinensis,Hesperiidae
Pelopidas subochracea,Hesperiidae
Pelopidas thrax,Hesperiidae
Penetes pamphanis,Nymphalidae
Penthema formosanum,Nymphalidae
Perichares philetes,Hesperiidae
Perrhybris lypera,Pieridae
Petrelaea dana,Lycaenidae
Petrelaea tombugensis,Lycaenidae
Phaenochitonia pseudodebilis,Riodinidae
Phalanta eurytis,Nymphalidae
Phalanta phalantha,Nymphalidae
Phanes rezia,Hesperiidae
Pheles NA,Riodinidae
Pheles atricolor,Riodinidae
Phengaris alcon,Lycaenidae
Phengaris arion,Lycaenidae
Phengaris arionides,Lycaenidae
Phengaris kurentzovi,Lycaenidae
Phengaris nausithous,Lycaenidae
Phengaris teleius,Lycaenidae
Pheraeus argynnis,Hesperiidae
Philaethria diatonica,Nymphalidae
Philiris innotatus,Lycaenidae
Philiris nitens,Lycaenidae
Phocides polybius,Hesperiidae
Phoebis agarithe,Pieridae
Phoebis argante,Pieridae
Phoebis editha,Pieridae
Phoebis neocypris,Pieridae
Phoebis philea,Pieridae
Phoebis sennae,Pieridae
Pholisora catullus,Hesperiidae
Phyciodes batesii,Nymphalidae
Phyciodes graphica,Nymphalidae
Phyciodes picta,Nymphalidae
Pierella luna,Nymphalidae
Pieriballia viardi,Pieridae
Pieris brassicae,Pieridae
Pieris bryoniae,Pieridae
Pieris canidia,Pieridae
Pieris cheiranthi,Pieridae
Pieris ergane,Pieridae
Pieris krueperi,Pieridae
Pieris mannii,Pieridae
Pieris melete,Pieridae
Pieris napi,Pieridae
Pieris oleracea,Pieridae
Pieris rapae,Pieridae
Pierphulia rosea,Pieridae
Pilodeudorix virgatoidesÿ,Lycaenidae
Pindis squamistriga,Nymphalidae
Pirascca sagaris,Riodinidae
Pithauria murdava,Hesperiidae
Pithauria stramineipennis,Hesperiidae
Pithecops corvus,Lycaenidae
Plastingia naga,Hesperiidae
Plebejidea loewii,Lycaenidae
Plebejus argus,Lycaenidae
Plebejus argyrognomon,Lycaenidae
Plebejus eversmanni,Lycaenidae
Plebejus idas,Lycaenidae
Plebejus melissa,Lycaenidae
Plebejus subsolanus,Lycaenidae
Poanes massasoit,Hesperiidae
Poanes taxiles,Hesperiidae
Polites mystic,Hesperiidae
Polites origenes,Hesperiidae
Polites themistocles,Hesperiidae
Polycaena tamerlana,Riodinidae
Polygonia c-album,Nymphalidae
Polygonia egea,Nymphalidae
Polygonia progne,Nymphalidae
Polygonia vaualbum,Nymphalidae
Polygonus leo,Hesperiidae
Polygrapha cyanea,Nymphalidae
Polyommatus admetus,Lycaenidae
Polyommatus amandus,Lycaenidae
Polyommatus celina,Lycaenidae
Polyommatus dagmara,Lycaenidae
Polyommatus damon,Lycaenidae
Polyommatus dantchenkoi,Lycaenidae
Polyommatus daphnis,Lycaenidae
Polyommatus dolus,Lycaenidae
Polyommatus dorylas,Lycaenidae
Polyommatus eros,Lycaenidae
Polyommatus escheri,Lycaenidae
Polyommatus fabressei,Lycaenidae
Polyommatus humedasae,Lycaenidae
Polyommatus icadius,Lycaenidae
Polyommatus icarus,Lycaenidae
Polyommatus kuronjerus,Lycaenidae
Polyommatus muellerae,Lycaenidae
Polyommatus pulchella,Lycaenidae
Polyommatus ripartii,Lycaenidae
Polyommatus thersites,Lycaenidae
Polytremis discreta,Hesperiidae
Polytremis eltola,Hesperiidae
Polytremis matsuii,Hesperiidae
Polytremis zina,Hesperiidae
Polyura alphius,Nymphalidae
Polyura athamas,Nymphalidae
Polyura eudamippus,Nymphalidae
Polyura narcaeus,Nymphalidae
Polyura sempronius,Nymphalidae
Pompeius amblyspila,Hesperiidae
Pompeius dares,Hesperiidae
Pompeius pompeius,Hesperiidae
Pompeius verna,Hesperiidae
Pontia callidice,Pieridae
Pontia daplidice,Pieridae
Pontia davidis,Pieridae
Pontia edusa,Pieridae
Pontia glauconome,Pieridae
Pontia occidentalis,Pieridae
Pontia protodice,Pieridae
Potanthus mara,Hesperiidae
Potanthus omaha,Hesperiidae
Potanthus tibetana,Hesperiidae
Potanthus trachala,Hesperiidae
Pratapa deva,Lycaenidae
Pratapa illurgis,Lycaenidae
Prepona laertes,Nymphalidae
Prepona pylene,Nymphalidae
Prestonia clarki,Pieridae
Prioneris thestylis,Pieridae
Problema byssus,Hesperiidae
Prolibythea carinenta,Nymphalidae
Prosotas bhutea,Lycaenidae
Prosotas dubiosa,Lycaenidae
Prosotas felderi,Lycaenidae
Prosotas lutea,Lycaenidae
Prosotas nora,Lycaenidae
Prosotas noreia,Lycaenidae
Prosotas pia,Lycaenidae
Proteides maysi,Hesperiidae
Protesilaus aguiari,Papilionidae
Protesilaus helios,Papilionidae
Protesilaus molops,Papilionidae
Protesilaus protesilaus,Papilionidae
Protesilaus stenodesmus,Papilionidae
Protesilaus telesilaus,Papilionidae
Protogoniomorpha parhassus,Nymphalidae
Pseudergolis wedah,Nymphalidae
Pseudochazara anthelea,Nymphalidae
Pseudochazara cingovskii,Nymphalidae
Pseudochazara mniszechii,Nymphalidae
Pseudochazara thelephassa,Nymphalidae
Pseudochrysops bornoi,Lycaenidae
Pseudocoladenia dan,Hesperiidae
Pseudodebis celia,Nymphalidae
Pseudodebis euptychidia,Nymphalidae
Pseudodebis nakamurai,Nymphalidae
Pseudodebis pieti,Nymphalidae
Pseudolucia parana,Lycaenidae
Pseudotinea caprina,Riodinidae
Pseudozizeeria maha,Lycaenidae
Pteronymia aletta,Nymphalidae
Pteronymia cotytto,Nymphalidae
Pterourus esperanza,Papilionidae
Pterourus garamas,Papilionidae
Pterourus glaucus,Papilionidae
Pterourus multicaudata,Papilionidae
Pterourus pilumnus,Papilionidae
Pterourus troilus,Papilionidae
Pyrgus alveus,Hesperiidae
Pyrgus andromedae,Hesperiidae
Pyrgus armoricanus,Hesperiidae
Pyrgus cacaliae,Hesperiidae
Pyrgus carlinae,Hesperiidae
Pyrgus carthami,Hesperiidae
Pyrgus centaureae,Hesperiidae
Pyrgus cinarae,Hesperiidae
Pyrgus crisia,Hesperiidae
Pyrgus foulquieri,Hesperiidae
Pyrgus limbata,Hesperiidae
Pyrgus maculatus,Hesperiidae
Pyrgus malvae,Hesperiidae
Pyrgus malvoides,Hesperiidae
Pyrgus melotis,Hesperiidae
Pyrgus oileus,Hesperiidae
Pyrgus onopordi,Hesperiidae
Pyrgus serratulae,Hesperiidae
Pyrisitia dina,Pieridae
Pyrisitia lisa,Pieridae
Pyrisitia nise,Pieridae
Pyrisitia proterpia,Pieridae
Pyrisitia venusta,Pieridae
Pyronia bathseba,Nymphalidae
Pyronia cecilia,Nymphalidae
Pyronia tithonus,Nymphalidae
Pyrrhocalles antiqua,Hesperiidae
Pyrrhogyra neaerea,Nymphalidae
Pyrrhogyra otolais,Nymphalidae
Pyrrhopyge aziza,Hesperiidae
Pyrrhopyge charybdis,Hesperiidae
Pyrrhopyge pelota,Hesperiidae
Pyrrhopyge thericles,Hesperiidae
Pythonides jenmorrisae,Hesperiidae
Quadrus truncata,Hesperiidae
Quadrus u-lucida,Hesperiidae
Quasimellana balsa,Hesperiidae
Quasimellana mulleri,Hesperiidae
Quinta cannae,Hesperiidae
Rapala hades,Lycaenidae
Rapala nissa,Lycaenidae
Rapala scintilla,Lycaenidae
Rekoa marius,Lycaenidae
Rekoa meton,Lycaenidae
Rhabdodryas trillado,Pieridae
Rhinthon cubana,Hesperiidae
Rimisia miris,Lycaenidae
Rohana tonkiniana,Nymphalidae
Rueckbeilia fergana,Lycaenidae
Sahulana scintillata,Lycaenidae
Salamis cacta,Nymphalidae
Saliana fusta,Hesperiidae
Saliana longirostris,Hesperiidae
Saniba sabina,Hesperiidae
Sarangesa dasahara,Hesperiidae
Sarbia antias,Hesperiidae
Sarmientoia phaselis,Hesperiidae
Sasakia charonda,Nymphalidae
Sasakia funebris,Nymphalidae
Satyrium abdominalis,Lycaenidae
Satyrium acadica,Lycaenidae
Satyrium acaudata,Lycaenidae
Satyrium davidi,Lycaenidae
Satyrium esculi,Lycaenidae
Satyrium eximia,Lycaenidae
Satyrium goniopterum,Lycaenidae
Satyrium ilicis,Lycaenidae
Satyrium iyonis,Lycaenidae
Satyrium liparops,Lycaenidae
Satyrium pruni,Lycaenidae
Satyrium spini,Lycaenidae
Satyrium titus,Lycaenidae
Satyrium turkomana,Lycaenidae
Satyrium w-album,Lycaenidae
Satyrus actaea,Nymphalidae
Satyrus ferula,Nymphalidae
Scada reckia,Nymphalidae
Scobura cephala,Hesperiidae
Scobura eximia,Hesperiidae
Scobura parawoolletti,Hesperiidae
Scolitantides abencerragus,Lycaenidae
Scolitantides baton,Lycaenidae
Scolitantides orion,Lycaenidae
Sephisa dichroa,Nymphalidae
Serdis statius,Hesperiidae
Serdis venezuelae,Hesperiidae
Sericinus montela,Papilionidae
Seseria sambara,Hesperiidae
Shijimiaeoides divina,Lycaenidae
Siderus eliatha,Lycaenidae
Sinthusa chandrana,Lycaenidae
Siproeta epaphus,Nymphalidae
Sloperia proto,Hesperiidae
Sloperia tessellum,Hesperiidae
Smyrna blomfildia,Nymphalidae
Spalgis epeus,Lycaenidae
Spialia diomus,Hesperiidae
Spialia doris,Hesperiidae
Spialia galba,Hesperiidae
Spialia orbifer,Hesperiidae
Spialia phlomidis,Hesperiidae
Spialia rosae,Hesperiidae
Spialia sertorius,Hesperiidae
Splendeuptychia ackeryi,Nymphalidae
Splendeuptychia cosmophila,Nymphalidae
Splendeuptychia libitina,Nymphalidae
Staphylus ascalon,Hesperiidae
Staphylus coecatus,Hesperiidae
Staphylus minor,Hesperiidae
Staphylus musculus,Hesperiidae
Stegosatyrus periphas,Nymphalidae
Stempfferia buea,Lycaenidae
Stempfferia michelliberti,Lycaenidae
Stempfferia salonga,Lycaenidae
Stichelia dukinfieldia,Riodinidae
Strephonota sphinx,Lycaenidae
Strymon cestri,Lycaenidae
Strymon eurytulus,Lycaenidae
Strymon flavaria,Lycaenidae
Strymon yojoa,Lycaenidae
Strymon ziba,Lycaenidae
Suada albolineata,Hesperiidae
Suasa lisides,Lycaenidae
Suastus gremius,Hesperiidae
Sucova sucova,Hesperiidae
Symbiopsis strenua,Lycaenidae
Symbrenthia brabira,Nymphalidae
Symbrenthia geoffroyii,Nymphalidae
Symbrenthia hypselis,Nymphalidae
Symmachia aconia,Riodinidae
Symmachia arion,Riodinidae
Symmachia menetas,Riodinidae
Synale hylaspes,Hesperiidae
Synapte malitiosa,Hesperiidae
Synapte silius,Hesperiidae
Synargis axenus,Riodinidae
Synargis bifasciata,Riodinidae
Synargis calyce,Riodinidae
Synargis ethelinda,Riodinidae
Synargis phliasus,Riodinidae
Synargis regulus,Riodinidae
Syrmatia nyx,Riodinidae
Tagiades cohaerens,Hesperiidae
Tagiades litigiosa,Hesperiidae
Tagiades parra,Hesperiidae
Tajuria jehana,Lycaenidae
Tajuria luculentus,Lycaenidae
Talicada nyseus,Lycaenidae
Tanaecia julii,Nymphalidae
Taractrocera ina,Hesperiidae
Taractrocera maevius,Hesperiidae
Taraka hamada,Lycaenidae
Tarucus balkanica,Lycaenidae
Tarucus nara,Lycaenidae
Tarucus rosacea,Lycaenidae
Tarucus theophrastus,Lycaenidae
Tatochila autodice,Pieridae
Tatochila mercedis,Pieridae
Taygetis acuta,Nymphalidae
Taygetis larua,Nymphalidae
Taygetis mermeria,Nymphalidae
Taygetis sylvia,Nymphalidae
